candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
MGHATO ACHUMI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=56,Atoizu,INC,0,Post Graduate,7112881,0,7112881,32,ST,ZUNHEBOTO,NA,,false,false,Male
MHAO HUMTSOE,http://myneta.info/2008Nagaland/candidate.php?candidate_id=136,Wokha,INC,0,Graduate,4679172,0,4679172,38,ST,WOKHA,NA,,false,false,Male
MHONJAN LOTHA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=121,Bhandari,JD(U),0,Not Given,1000000,0,1000000,40,ST,WOKHA,NA,,false,false,Male
MIATHOU,http://myneta.info/2008Nagaland/candidate.php?candidate_id=17,Ghaspani-II,INC,0,Graduate,2529947,0,2529947,5,ST,DIMAPUR,NA,,false,false,Male
MMHONLUMO KIKON,http://myneta.info/2008Nagaland/candidate.php?candidate_id=119,Bhandari,NCP,0,Post Graduate,129878,0,129878,40,ST,WOKHA,NA,,false,false,Male
N. KAIMANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=199,Tuensang Sadar-II,RJD,0,10th Pass,830000,0,830000,54,ST,TUENSANG,NA,,false,false,Male
N. THOMAS LOTHA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=144,Sanis,INC,0,10th Pass,1117600,0,1117600,39,ST,WOKHA,NA,,false,false,Male
N. THONGWANG,http://myneta.info/2008Nagaland/candidate.php?candidate_id=164,Mon Town,NPF,0,8th Pass,629000,0,629000,46,ST,MON,NA,,true,false,Male
N.I. WATI,http://myneta.info/2008Nagaland/candidate.php?candidate_id=88,Tuli,RJD,0,Graduate,660000,0,660000,21,ST,MOKOKCHUNG,NA,,false,false,Male
NAIBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=172,Tobu,NPF,0,Graduate,889000,0,889000,55,ST,MON,NA,,false,false,Male
NEIBA,http://myneta.info/2008Nagaland/candidate.php?candidate_id=70,Pfutsero,NPF,0,12th Pass,28313774,0,28313774,16,ST,PHEK,NA,,true,false,Male
NEIPHIU RIO,http://myneta.info/2008Nagaland/candidate.php?candidate_id=35,Northern Angami -II,NPF,0,Graduate,62325000,0,62325000,11,ST,KOHIMA,NA,,true,false,Male
