State_Name,Year,month,Assembly_No,DelimID,Constituency_No,Position,Candidate,Sex,Party,Votes,Age,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,District_Name,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin_Percentage,ENOP
Himachal_Pradesh,2012,2,12,4,9,8,PARBHAT SINGH,M,IND,280,54,GEN,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,0.49,yes,0.19,3.03
Himachal_Pradesh,2012,2,12,4,9,9,KULDEEP SINGH JARYAL,M,HiSP,169,63,GEN,57257,80874,JAWALI,GEN,KANGRA,BEAS RIVER REGION,9,70.8,0.3,yes,0,3.03
Himachal_Pradesh,2012,2,12,4,10,10,RAJ KUMAR,M,AITC,326,44,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.69,yes,0.08,2.7
Himachal_Pradesh,2012,2,12,4,10,11,ASHWANI KUMAR,M,IND,288,44,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.61,yes,0.11,2.7
Himachal_Pradesh,2012,2,12,4,10,12,DURGESH,M,HLP,234,41,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.5,yes,0.07,2.7
Himachal_Pradesh,2012,2,12,4,10,1,RAVINDER SINGH,M,BJP,24463,57,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,52.02,no,32.52,2.7
Himachal_Pradesh,2012,2,12,4,10,14,SULEKHA DEVI,F,SP,175,48,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.37,yes,0.02,2.7
Himachal_Pradesh,2012,2,12,4,10,15,MOHAN LAL,M,HiSP,165,40,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.35,yes,0.09,2.7
Himachal_Pradesh,2012,2,12,4,10,16,SUSHMA DEVI,F,NCP,124,40,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.26,yes,0,2.7
Himachal_Pradesh,2012,2,12,4,10,13,RAJINDER SINGH CHAWLA,M,IND,200,47,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,0.43,yes,0.05,2.7
Himachal_Pradesh,2012,2,12,4,10,3,RAJINDER SINGH RANA,M,INC,7639,58,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,16.25,yes,12.84,2.7
Himachal_Pradesh,2012,2,12,4,10,4,HARI OM,M,BSP,1603,55,GEN,47022,70424,DEHRA,GEN,KANGRA,BEAS RIVER REGION,16,66.77,3.41,yes,1.63,2.7
