candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Shankarbhai Alias Mahendrashankar Ramsuratbhai Alias Ramsurat Yadav,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3858,PARDI,SP,0,Others,23673894,6203419,17470475,180,GEN,Valsad,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Samajwadi Party
Shankarbhai Alibhai Koli,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3632,ABDASA,Vyavastha Parivartan Party,0,8th Pass,50000,0,50000,1,GEN,Kachchh,Kutch,false,true,false,Male,NA,NA,NA,NA,NA,NA,Vyavastha Parivartan Party
Shankarbhai Babubhai Dhodiya,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3960,VYARA (ST),IND,0,Post Graduate,760000,0,760000,171,ST,Tapi,South Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shantilal Chhotalal Patel,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5030,THASRA,IND,0,8th Pass,555519,0,555519,119,GEN,Kheda,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shantubhai Bababhai Varu,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4501,RAJULA,IND,1,Graduate,1646000,584000,1062000,98,GEN,Amreli,Saurashtra,false,true,true,Male,NA,NA,NA,NA,NA,NA,Independent
Sharma Arun Shrichand,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4162,UDHNA,All India Hindustan Congress Party,0,12th Pass,2166000,43000,2123000,164,GEN,Surat,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,All India Hindustan Congress Party
Sharma Ashok Deendayal,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4742,SABARMATI,SHS,3,Graduate,5641207,1360827,4280380,55,GEN,Ahmedabad,Central Gujarat,true,true,true,Male,NA,NA,NA,NA,NA,NA,Shivsena
Sharma Brijeshkumar Ujagarlal,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4804,NARODA,IND,0,Graduate,5296316,0,5296316,47,GEN,Ahmedabad,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Sharma Rajmal,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3836,MAJURA,Svatantra Bharat Satyagrah Party,0,8th Pass,460651,154000,306651,165,GEN,Surat,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Svatantra Bharat Satyagrah Party
Sharma Rajmal Mohanlal,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3847,CHORYASI,Svatantra Bharat Satyagrah Party,0,8th Pass,460651,154000,306651,168,GEN,Surat,South Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Svatantra Bharat Satyagrah Party
Shashikant Fushabhai Vanikar,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5611,GANDHINAGAR SOUTH,IND,0,Post Graduate,7270500,1466000,5804500,35,GEN,Gandhinagar,North Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shashikant Manubhai Sharma,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5339,NARANPURA,All India Hindustan Congress Party,0,12th Pass,630000,0,630000,45,GEN,Ahmedabad,Central Gujarat,false,true,false,Male,NA,NA,NA,NA,NA,NA,All India Hindustan Congress Party
Sheikh Mustafa Nursha,http://myneta.info/Gujarat2017/candidate.php?candidate_id=4348,ANJAR,JD(U),2,5th Pass,1746601,311990,1434611,4,GEN,Kachchh,Kutch,true,true,true,Male,NA,NA,NA,NA,NA,NA,Janata Dal (United)
Sheikh Salimudeen Nijamudeen,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5692,NIKOL,IND,0,5th Pass,0,0,0,46,GEN,Ahmedabad,Central Gujarat,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Shejadhusen Mazharhusen Tejabwala,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5550,JAMALPUR - KHADIA,All India Hindustan Congress Party,1,10th Pass,162000,14000,148000,52,GEN,Ahmedabad,Central Gujarat,true,true,true,Male,NA,NA,NA,NA,NA,NA,All India Hindustan Congress Party
Shekh Habibbhai Imamuddin,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5549,JAMALPUR - KHADIA,NCP,12,Literate,8494163,0,8494163,52,GEN,Ahmedabad,Central Gujarat,true,true,true,Male,NA,NA,NA,NA,NA,NA,Nationalist Congress Party
Shekh Hameed Ramajaan,http://myneta.info/Gujarat2017/candidate.php?candidate_id=3829,LIMBAYAT,Svatantra Bharat Satyagrah Party,1,Literate,275872,0,275872,163,GEN,Surat,South Gujarat,false,true,true,Male,NA,NA,NA,NA,NA,NA,Svatantra Bharat Satyagrah Party
Shekh Jakirhusen Husenmiya,http://myneta.info/Gujarat2017/candidate.php?candidate_id=5723,LUNAWADA,IND,0,10th Pass,4749000,1000000,3749000,122,GEN,Mahisagar,Central Gujarat,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
