candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Rahibul Islam Sarker,http://myneta.info/meghalaya2013/candidate.php?candidate_id=256,RAJABALA,SP,1,Graduate Professional,2548818,427671,2121147,47,GEN,NA,NA,false,true,false,Male,,,,,,
Rahinath Barchung,http://myneta.info/meghalaya2013/candidate.php?candidate_id=331,TIKRIKILLA (ST),INC,1,12th Pass,2166353,243000,1923353,45,ST,NA,NA,false,true,false,Male,,,,,,
Raju G Momin,http://myneta.info/meghalaya2013/candidate.php?candidate_id=137,RONGJENG (ST),UDP,0,Graduate,321200,0,321200,42,ST,NA,NA,false,false,false,Male,,,,,,
Rakkam A. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=80,RONGARA SIJU (ST),IND,0,Post Graduate,1324922,177000,1147922,58,ST,NA,NA,false,false,false,Male,,,,,,
Rakseng R Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=158,GAMBEGRE (ST),IND,0,5th Pass,124414,0,124414,56,ST,NA,NA,false,false,false,Male,,,,,,
Rangsandor Syiem,http://myneta.info/meghalaya2013/candidate.php?candidate_id=59,RANIKOR (ST),HSPDP,0,Post Graduate,32173000,0,32173000,35,ST,NA,NA,false,true,false,Male,,,,,,
Rapiush Ch. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=133,RONGJENG (ST),SP,0,Graduate,960000,0,960000,42,ST,NA,NA,false,false,false,Male,,,,,,
Remington Pyngrope,http://myneta.info/meghalaya2013/candidate.php?candidate_id=117,MAWKYNREW (ST),UDP,0,12th Pass,23388595,0,23388595,29,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=117&id2=49,23388595,5715705,17672890,309%,PAN was missing last time
Renikton Lyngdoh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=62,MAWKYRWAT (ST),NPP,0,Graduate,75134474,11399682,63734792,36,ST,NA,NA,false,true,false,Male,,,,,,
Riang Lenon Tariang,http://myneta.info/meghalaya2013/candidate.php?candidate_id=198,AMLAREM (ST),UDP,0,Post Graduate,1534510,0,1534510,7,ST,NA,NA,false,true,false,Male,,,,,,
Richard D. Shabong,http://myneta.info/meghalaya2013/candidate.php?candidate_id=225,SOHRA (ST),CPI,0,12th Pass,1809174,0,1809174,28,ST,NA,NA,false,false,false,Male,,,,,,
Rightious N. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=75,SALMANPARA (ST),IND,0,Post Graduate,106487,0,106487,55,ST,NA,NA,false,true,false,Male,,,,,,
Ringnon R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=246,RAKSAMGRE (ST),NPP,0,Graduate,2555661,0,2555661,44,ST,NA,NA,false,true,false,Male,,,,,,
Robert F. Kharbuki,http://myneta.info/meghalaya2013/candidate.php?candidate_id=38,MYLLIEM (ST),IND,0,10th Pass,11503000,1341679,10161321,20,ST,NA,NA,false,true,false,Male,,,,,,
Robinus Syngkon,http://myneta.info/meghalaya2013/candidate.php?candidate_id=189,MOWKAIAW (ST),IND,0,Graduate,22122368,0,22122368,4,ST,NA,NA,false,true,false,Male,,,,,,
Rocky Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=239,BAJENGDOBA (ST),UDP,0,12th Pass,1530390,230000,1300390,40,ST,NA,NA,false,true,false,Male,,,,,,
Roger Benny A. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=71,NORTH TURA (ST),IND,0,Post Graduate,75000,0,75000,50,ST,NA,NA,false,true,false,Male,,,,,,
Rohidas Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=262,DADENGGRE (ST),NCP,0,12th Pass,3304359,300000,3004359,49,ST,NA,NA,false,false,false,Male,,,,,,
Roland Mawsor,http://myneta.info/meghalaya2013/candidate.php?candidate_id=55,MAWSHYNRUT (ST),IND,0,10th Pass,9450000,0,9450000,34,ST,NA,NA,false,true,false,Male,,,,,,
Romeo Phira Rani,http://myneta.info/meghalaya2013/candidate.php?candidate_id=210,EAST SHILLONG (ST),BJP,0,12th Pass,4354516,299000,4055516,16,ST,NA,NA,false,true,false,Male,,,,,,
Rona Khymdeit,http://myneta.info/meghalaya2013/candidate.php?candidate_id=28,NONGPOH (ST),UDP,0,Graduate Professional,235000,0,235000,9,ST,NA,NA,false,true,false,Female,,,,,,
Ronnie V. Lyngdoh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=105,MYLLIEM (ST),INC,0,12th Pass,4834887,0,4834887,20,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=105&id2=77,4834887,2775000,2059887,74%,PAN was missing last time
Rophul S. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=352,RONGARA SIJU (ST),IND,0,Graduate,30316469,308827,30007642,58,ST,NA,NA,false,true,false,Male,,,,,,
Roshan Warjri,http://myneta.info/meghalaya2013/candidate.php?candidate_id=101,NORTH SHILLONG (ST),INC,0,Graduate,198324794,0,198324794,17,ST,NA,NA,false,true,false,Female,,,,,,
Rowell Lyngdoh,http://myneta.info/meghalaya2013/candidate.php?candidate_id=126,MAWKYRWAT (ST),INC,0,Graduate,13016000,0,13016000,36,ST,NA,NA,false,false,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=126&id2=25,13016000,1388908,11627092,837%,
Roytre Christopher Laloo,http://myneta.info/meghalaya2013/candidate.php?candidate_id=29,JOWAI (ST),INC,0,Doctorate,12618255,0,12618255,2,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=29&id2=17,12618255,7335102,5283153,72%,PAN was missing last time
Rupert Momin,http://myneta.info/meghalaya2013/candidate.php?candidate_id=129,KHARKUTTA (ST),IND,0,Post Graduate,584000,0,584000,37,ST,NA,NA,false,true,false,Male,,,,,,
Sabina D. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=135,RONGJENG (ST),IND,0,Graduate Professional,1117215,0,1117215,42,ST,NA,NA,false,true,false,Female,,,,,,
Sader Hossain,http://myneta.info/meghalaya2013/candidate.php?candidate_id=149,PHULBARI,NPP,0,10th Pass,3739940,0,3739940,46,GEN,NA,NA,false,true,false,Male,,,,,,
Saleng A. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=76,GAMBEGRE (ST),IND,0,Post Graduate,25583148,1459868,24123280,56,ST,NA,NA,false,true,false,Male,http://myneta.info/meghalaya2013/index.php?action=affidavitComparison&myneta_folder2=2008Meghalaya&id1=76&id2=89,25583148,5252012,20331136,387%,PAN was missing last time Party in last election was INC
Salseng C Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=131,RESUBELPARA (ST),INC,0,Graduate,4561505,0,4561505,39,ST,NA,NA,false,false,false,Male,,,,,,
Samuel M. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=85,BAGHMARA (ST),IND,0,12th Pass,15084869,2326170,12758699,60,ST,NA,NA,false,true,false,Male,,,,,,
Sanbor Shullai,http://myneta.info/meghalaya2013/candidate.php?candidate_id=37,SOUTH SHILLONG,NCP,0,12th Pass,57623851,0,57623851,19,GEN,NA,NA,false,true,false,Male,,,,,,
Sanjiv R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=78,GAMBEGRE (ST),NCP,0,Graduate,4754332,400000,4354332,56,ST,NA,NA,false,true,false,Male,,,,,,
Santosh R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=64,WILLIAM NAGAR (ST),UDP,0,Post Graduate,34370937,2538583,31832354,43,ST,NA,NA,false,true,false,Male,,,,,,
Satto R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=161,RONGARA SIJU (ST),NPP,0,Graduate,2148169,251169,1897000,58,ST,NA,NA,false,true,false,Male,,,,,,
Satyendra Kumar,http://myneta.info/meghalaya2013/candidate.php?candidate_id=33,PYNTHORUMKHRAH,NCP,0,Post Graduate,8479483,762994,7716489,14,GEN,NA,NA,false,true,false,Male,,,,,,
Sayeedullah Nongrum,http://myneta.info/meghalaya2013/candidate.php?candidate_id=11,RAJABALA,INC,0,12th Pass,45377522,0,45377522,47,GEN,NA,NA,false,true,false,Male,,,,,,
Secondson A. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=84,BAGHMARA (ST),IND,0,Graduate Professional,2427695,277000,2150695,60,ST,NA,NA,false,false,false,Male,,,,,,
Semford B. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=281,MAHENDRAGANJ (ST),NPP,0,Graduate,3712000,300000,3412000,54,ST,NA,NA,false,true,false,Male,,,,,,
Sengban R. Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=274,RANGSAKONA (ST),UDP,0,Graduate,111370,0,111370,52,ST,NA,NA,false,true,false,Male,,,,,,
Sengkal A Sangma,http://myneta.info/meghalaya2013/candidate.php?candidate_id=291,DALU (ST),IND,0,Post Graduate,655500,150000,505500,57,ST,NA,NA,false,true,false,Male,,,,,,
Sengman R. Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=259,DADENGGRE (ST),IND,0,10th Pass,19368472,0,19368472,49,ST,NA,NA,false,true,false,Male,,,,,,
Sengnam Marak,http://myneta.info/meghalaya2013/candidate.php?candidate_id=134,RONGJENG (ST),INC,0,Graduate,2741136,0,2741136,42,ST,NA,NA,false,true,false,Male,,,,,,
