candidate_name,constituency,party,criminal_cases,education,assets,liabilities,net_assets,filed_itr,ac_no,reservations,district,sub_region
Rajeev Kumar Kaundal,KASAULI,IND,1,Graduate Professional,1712203,0,1712203,true,54,SC,SOLAN,SHIVALIK REGION
Rajender Paul Kashav,BALH,All India Forward Bloc,0,Graduate Professional,5393089,1400000,3993089,true,34,SC,MANDI,BEAS RIVER REGION
Rajesh Dharmani,GHUMARWIN,INC,0,Post Graduate,9863447,574457,9288990,true,47,GEN,BILASPUR,SHIVALIK REGION
Rajesh Kashyap,SOLAN,BJP,0,Post Graduate,30831786,1917716,28914070,true,53,SC,SOLAN,SHIVALIK REGION
Rajesh Thakur,GAGRET,BJP,0,Graduate,208371632,3540066,204831566,true,42,GEN,UNA,BEAS RIVER REGION
Rajinder Garg,GHUMARWIN,BJP,0,Post Graduate,26980169,346499,26633670,true,47,GEN,BILASPUR,SHIVALIK REGION
Rajinder Singh,SUJANPUR,INC,0,Graduate,264833629,2411117,262422512,true,37,GEN,HAMIRPUR,SHIVALIK REGION
Rajiv Gautam,UNA,IND,0,Graduate Professional,183090291,1261140,181829151,true,44,GEN,UNA,BEAS RIVER REGION
Rajiv Saizal,KASAULI,BJP,0,Graduate Professional,7709500,331745,7377755,true,54,SC,SOLAN,SHIVALIK REGION
Rakesh Kalia,GAGRET,INC,0,Graduate,189600646,60971027,128629619,true,42,GEN,UNA,BEAS RIVER REGION
Rakesh Kumar,SUNDERNAGAR,BJP,1,Graduate,20500212,1399157,19101055,true,27,GEN,MANDI,BEAS RIVER REGION
Rakesh Pathania,NURPUR,BJP,3,12th Pass,34652605,7201548,27451057,true,6,GEN,KANGRA,BEAS RIVER REGION
Rakesh Verma,THEOG,BJP,0,Graduate Professional,102591040,1050000,101541040,true,61,GEN,SHIMLA,SHIMLA REGION
Ram Kumar,HAROLI,BJP,0,Post Graduate,7685653,0,7685653,true,43,GEN,UNA,BEAS RIVER REGION
Ram Kumar,DOON,INC,3,Post Graduate,408144720,13783858,394360862,true,52,GEN,SOLAN,SHIVALIK REGION
Ram Lal Thakur,SRI NAINA DEVIJI,INC,0,Graduate Professional,35829952,0,35829952,true,49,GEN,BILASPUR,SHIVALIK REGION
Ramesh Chand,SRI NAINA DEVIJI,IND,1,12th Pass,7603157,700000,6903157,true,49,GEN,BILASPUR,SHIVALIK REGION
Ramesh Chand,JAWALAMUKHI,BJP,1,10th Pass,4808000,63043,4744957,true,12,GEN,KANGRA,BEAS RIVER REGION
Ramesh Chand,BAIJNATH,BSP,0,12th Pass,10030000,0,10030000,true,20,SC,KANGRA,BEAS RIVER REGION
Ramesh Kumar,DHARAMPUR,Rashtriya Azad Manch,0,10th Pass,10862524,0,10862524,true,32,GEN,MANDI,BEAS RIVER REGION
Ramesh Kumar,SHAHPUR,IND,0,5th Pass,1717575,800000,917575,true,17,GEN,KANGRA,BEAS RIVER REGION
Ramesh Kumar,KASUMPTI,BSP,0,Graduate,5052000,10000,5042000,true,62,GEN,SHIMLA,SHIMLA REGION
Randhir Sharma,SRI NAINA DEVIJI,BJP,2,Post Graduate,18557732,0,18557732,true,49,GEN,BILASPUR,SHIVALIK REGION
Ranjeet Singh,NADAUN,IND,0,10th Pass,3276000,706250,2569750,true,40,GEN,HAMIRPUR,SHIVALIK REGION
Ranjit Singh,CHINTPURNI,BSP,0,Graduate,6442439,102000,6340439,true,41,SC,UNA,BEAS RIVER REGION
Rattan Singh Kashyap,PACHHAD,IND,0,12th Pass,26831478,1120000,25711478,true,55,SC,SIRMOUR,SHIVALIK REGION
Rattan Singh Pal,ARKI,BJP,0,10th Pass,16606262,3298000,13308262,true,50,GEN,SOLAN,SHIVALIK REGION
Ravi Chand,KANGRA,NCP,0,10th Pass,8428951,3900000,4528951,true,16,GEN,KANGRA,BEAS RIVER REGION
Ravi Parkash,NADAUN,BSP,1,10th Pass,10395000,7600000,2795000,true,40,GEN,HAMIRPUR,SHIVALIK REGION
Ravi Thakur,LAHAUL & SPITI,INC,0,Graduate,187551060,14741772,172809288,true,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS
Ravinder Kumar,JAISINGHPUR,BJP,0,Graduate,5700611,603082,5097529,true,13,SC,KANGRA,BEAS RIVER REGION
Ravinder Pal Singh Mann,HAROLI,IND,0,Graduate Professional,2954546,0,2954546,true,43,GEN,UNA,BEAS RIVER REGION
Ravinder Singh,DEHRA,BJP,1,Graduate,16984000,4242968,12741032,true,10,GEN,KANGRA,BEAS RIVER REGION
Ravinder Singh Dogra,SUJANPUR,NCP,0,12th Pass,10000,50000,-40000,true,37,GEN,HAMIRPUR,SHIVALIK REGION
Ravinder Singh Rana,DHARAMSHALA,IND,0,Graduate,12430000,7701000,4729000,true,18,GEN,KANGRA,BEAS RIVER REGION
Reeta Devi,INDORA,BJP,0,10th Pass,5830925,192146,5638779,true,7,SC,KANGRA,BEAS RIVER REGION
Renuka Dogra,KULLU,Rashtriya Azad Manch,0,Graduate Professional,20990000,440200,20549800,true,23,GEN,KULLU,BEAS RIVER REGION
Rohit Thakur,JUBBAL-KOTKHAI,INC,0,Graduate,278237915,1000000,277237915,true,65,GEN,SHIMLA,SHIMLA REGION
Rustam Singh,JAWALI,CPI,0,Graduate,9857819,0,9857819,true,9,GEN,KANGRA,BEAS RIVER REGION
Sandeep Sharma,KUTLEHAR,Swabhiman Party,0,Graduate Professional,38170000,16000000,22170000,true,45,GEN,UNA,BEAS RIVER REGION
Sanjay Chaudhary,KANGRA,BJP,0,Post Graduate,9395971,2570793,6825178,true,16,GEN,KANGRA,BEAS RIVER REGION
Sanjay Chauhan,SHIMLA,CPI(M),0,Post Graduate,15422613,0,15422613,true,63,GEN,SHIMLA,SHIMLA REGION
Sanjay Rattan,JAWALAMUKHI,INC,0,Graduate Professional,16156899,2107284,14049615,true,12,GEN,KANGRA,BEAS RIVER REGION
Sanjiv Kumar,SARKAGHAT,IND,0,Graduate Professional,1380000,250000,1130000,true,35,GEN,MANDI,BEAS RIVER REGION
Sarveen,SHAHPUR,BJP,0,Post Graduate,41948982,5500000,36448982,true,17,GEN,KANGRA,BEAS RIVER REGION
Satpal Singh Raizada,UNA,INC,0,10th Pass,89637432,52963667,36673765,true,44,GEN,UNA,BEAS RIVER REGION
Satpal Singh Satti,UNA,BJP,0,Post Graduate,31422977,1246674,30176303,true,44,GEN,UNA,BEAS RIVER REGION
Sh. Bhagat Ram,KARSOG,IND,0,Graduate,9159216,1300000,7859216,true,26,SC,MANDI,BEAS RIVER REGION
Sh. Mansa Ram,KARSOG,INC,0,Graduate,18374833,10573004,7801829,true,26,SC,MANDI,BEAS RIVER REGION
Sh. Mast Ram,KARSOG,IND,0,Graduate,8209961,845000,7364961,true,26,SC,MANDI,BEAS RIVER REGION
Shiv Hari Pal,KUTLEHAR,IND,1,12th Pass,14796354,1296923,13499431,true,45,GEN,UNA,BEAS RIVER REGION
Singhi Ram,RAMPUR,IND,1,Graduate Professional,58522035,15041674,43480361,true,66,SC,SHIMLA,SHIMLA REGION
Sita Ram Bhardwaj,BARSAR,IND,0,12th Pass,60523951,3360600,57163351,true,39,GEN,HAMIRPUR,SHIVALIK REGION
Sohan Lal,SUNDERNAGAR,INC,0,Post Graduate,81394949,2200000,79194949,true,27,GEN,MANDI,BEAS RIVER REGION
Subhash Sharma,GAGRET,IND,0,Graduate Professional,4156460,19700,4136760,true,42,GEN,UNA,BEAS RIVER REGION
Subhash Thakur,BILASPUR,BJP,1,Post Graduate,18465397,430144,18035253,true,48,GEN,BILASPUR,SHIVALIK REGION
Sudarshan,LAHAUL & SPITI,IND,0,Graduate Professional,950000,300000,650000,true,21,ST,LAHAUL & SPITI,GREATER HIMALAYAS
Sudhir Sharma,DHARAMSHALA,INC,0,Graduate,47713829,4800858,42912971,true,18,GEN,KANGRA,BEAS RIVER REGION
Sujan Singh Pathania,FATEHPUR,INC,0,Graduate,191577529,881732,190695797,true,8,GEN,KANGRA,BEAS RIVER REGION
Sukh Ram,PAONTA SAHIB,BJP,1,12th Pass,22226492,2378131,19848361,true,58,GEN,SIRMOUR,SHIVALIK REGION
Sukhvinder Singh Thakur,NADAUN,INC,0,Post Graduate,50436952,9188778,41248174,true,40,GEN,HAMIRPUR,SHIVALIK REGION
Sunder Singh Thakur,KULLU,INC,0,Graduate Professional,208032031,24536547,183495484,true,23,GEN,KULLU,BEAS RIVER REGION
Suraj Mani,DARANG,IND,0,8th Pass,370000,0,370000,true,30,GEN,MANDI,BEAS RIVER REGION
