candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,gender,serious_criminal_cases,declared_pan,filed_itr,party_eci
Baini Parshad,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3172,PALAMPUR,IND,1,Post Graduate,17432768,1200000,16232768,19,GEN,KANGRA,BEAS RIVER REGION,Male,true,true,true,Independent
Bal Krishan Chauhan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3396,CHAMBA,IND,1,Post Graduate,18061322,0,18061322,3,GEN,CHAMBA,BEAS RIVER REGION,Male,false,true,true,Independent
Bal Mukund,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3409,PALAMPUR,BSP,0,5th Pass,5220000,0,5220000,19,GEN,KANGRA,BEAS RIVER REGION,Male,false,false,false,Bahujan Samaj Party
Balak Ram Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3430,SRI NAINA DEVIJI,All India Forward Bloc,0,12th Pass,6042543,1214000,4828543,49,GEN,BILASPUR,SHIVALIK REGION,Male,false,true,true,All India Forward Bloc
Balbir Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3086,CHINTPURNI,BJP,1,Graduate,45411401,51766017,-6354616,41,SC,UNA,BEAS RIVER REGION,Male,false,true,true,Bharatiya Janata Party
Balbir Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3085,SRI RENUKAJI,BJP,0,Post Graduate,7815428,330812,7484616,57,SC,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Baldev Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3064,BARSAR,BJP,0,12th Pass,29975141,7565895,22409246,39,GEN,HAMIRPUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Baldev Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3439,SHILLAI,BJP,0,Graduate,58788254,20800000,37988254,59,GEN,SIRMOUR,SHIVALIK REGION,Male,false,true,true,Bharatiya Janata Party
Baldev Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3128,FATEHPUR,IND,0,10th Pass,2728545,2347652,380893,8,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Balvir Singh Verma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3359,CHOPAL,BJP,0,12th Pass,907329000,267334000,639995000,60,GEN,SHIMLA,SHIMLA REGION,Male,false,true,true,Bharatiya Janata Party
Balwant Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3148,INDORA,IND,0,12th Pass,160000,0,160000,7,SC,KANGRA,BEAS RIVER REGION,Male,false,true,false,Independent
Banarsi Dass Dogra,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3109,SHAHPUR,BSP,0,5th Pass,2219000,0,2219000,17,GEN,KANGRA,BEAS RIVER REGION,Male,false,true,false,Bahujan Samaj Party
Basant Ram Sandhu,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3082,BILASPUR,IND,0,12th Pass,2006000,0,2006000,48,GEN,BILASPUR,SHIVALIK REGION,Male,false,false,false,Independent
Beeru Ram Kishore,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3162,JHANDUTA,INC,0,Graduate Professional,15776008,7143169,8632839,46,SC,BILASPUR,SHIVALIK REGION,Male,false,true,true,Indian National Congress
