candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region
Gajender Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3196,MANALI,IND,0,Graduate,227140000,7400000,219740000,22,GEN,KULLU,BEAS RIVER REGION
Gangu Ram Musafir,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3175,PACHHAD,INC,0,Graduate,44817557,3924430,40893127,55,SC,SIRMOUR,SHIVALIK REGION
Govind Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3268,MANALI,BJP,3,Graduate,68235051,11945108,56289943,22,GEN,KULLU,BEAS RIVER REGION
Gulab Singh Thakur,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3163,JOGINDERNAGAR,BJP,0,Graduate Professional,21051328,1230552,19820776,31,GEN,MANDI,BEAS RIVER REGION
Gulzar Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3326,UNA,IND,0,8th Pass,3252000,450000,2802000,44,GEN,UNA,BEAS RIVER REGION
Gurnam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3423,NALAGARH,IND,0,8th Pass,1660000,1500000,160000,51,GEN,SOLAN,SHIVALIK REGION
Hans Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3235,JASWAN-PRAGPUR,IND,0,Graduate Professional,1616000,50000,1566000,11,GEN,KANGRA,BEAS RIVER REGION
Hans Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3454,CHURAH,BJP,2,Post Graduate,5294137,1587148,3706989,1,SC,CHAMBA,BEAS RIVER REGION
Harbans Lal,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3401,JAWALI,Navbharat Ekta Dal,0,Graduate,965361,125000,840361,9,GEN,KANGRA,BEAS RIVER REGION
Harbhajan Singh Bhajji,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3376,SHIMLA,INC,0,Graduate,39746203,293299,39452904,63,GEN,SHIMLA,SHIMLA REGION
Hardeep Singh Bawa,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3424,NALAGARH,IND,0,12th Pass,41870137,550000,41320137,51,GEN,SOLAN,SHIVALIK REGION
Hari Chand,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3360,CHOPAL,BSP,0,Post Graduate,9871000,0,9871000,60,GEN,SHIMLA,SHIMLA REGION
Hari Chand Sharma,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3269,MANALI,INC,0,10th Pass,77468186,23319240,54148946,22,GEN,KULLU,BEAS RIVER REGION
Hari Singh Panwar,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3089,CHOPAL,IND,0,Graduate Professional,3593000,0,3593000,60,GEN,SHIMLA,SHIMLA REGION
Harish Janartha,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3373,SHIMLA,IND,0,Graduate,53406000,6000000,47406000,63,GEN,SHIMLA,SHIMLA REGION
Harnam Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3223,NURPUR,BSP,0,8th Pass,705955,0,705955,6,GEN,KANGRA,BEAS RIVER REGION
Harpreet Singh,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3427,NALAGARH,IND,0,Graduate Professional,5034091,0,5034091,51,GEN,SOLAN,SHIVALIK REGION
Harshwardhan Chauhan,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3440,SHILLAI,INC,0,Graduate Professional,112068559,4100000,107968559,59,GEN,SIRMOUR,SHIVALIK REGION
Hem Raj,http://myneta.info/HimachalPradesh2017/candidate.php?candidate_id=3129,SARKAGHAT,IND,0,10th Pass,3046000,64000,2982000,35,GEN,MANDI,BEAS RIVER REGION
