candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Om Prakash,http://myneta.info/hp2012/candidate.php?candidate_id=38,FATEHPUR,BSP,0,Graduate Professional,3919000,300000,3619000,8,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Om Prakash,http://myneta.info/hp2012/candidate.php?candidate_id=234,SOLAN (SC),HLP,0,Post Graduate,9054500,138853,8915647,53,SC,SOLAN,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Om Prakash Jaswal,http://myneta.info/hp2012/candidate.php?candidate_id=249,BARSAR,BSP,0,Graduate,22900000,0,22900000,39,GEN,HAMIRPUR,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Om Prakash Rattan,http://myneta.info/hp2012/candidate.php?candidate_id=94,UNA,AITC,0,Post Graduate,10425177,0,10425177,44,GEN,UNA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,All India Trinamool Congress
Omkar Chand Thakur,http://myneta.info/hp2012/candidate.php?candidate_id=408,DEHRA,IND,0,Graduate Professional,11350000,0,11350000,10,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Onkar Singh,http://myneta.info/hp2012/candidate.php?candidate_id=384,PAONTA SAHIB,INC,0,8th Pass,43560918,931648,42629270,58,GEN,SIRMOUR,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Padam Singh,http://myneta.info/hp2012/candidate.php?candidate_id=314,BALH (SC),HiSP,1,10th Pass,9880900,100000,9780900,34,SC,MANDI,BEAS RIVER REGION,false,true,true,Male,NA,NA,NA,NA,NA,NA,Himachal Swabhiman Party
Pankaj Sharma,http://myneta.info/hp2012/candidate.php?candidate_id=399,FATEHPUR,IND,0,Graduate,1463109,400000,1063109,8,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Paramjeet Singh,http://myneta.info/hp2012/candidate.php?candidate_id=274,DOON,IND,0,Graduate,63027005,11331030,51695975,52,GEN,SOLAN,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Paras Ram,http://myneta.info/hp2012/candidate.php?candidate_id=259,DALHOUSIE,BSP,0,12th Pass,342000,0,342000,4,GEN,CHAMBA,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Paras Ram,http://myneta.info/hp2012/candidate.php?candidate_id=313,BALH (SC),CPM,1,Graduate,3131625,517334,2614291,34,SC,MANDI,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Communist Party of India (Marxist)
Paras Ram,http://myneta.info/hp2012/candidate.php?candidate_id=382,BANJAR,IND,0,8th Pass,200500,0,200500,24,GEN,KULLU,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Parmanand,http://myneta.info/hp2012/candidate.php?candidate_id=475,DARANG,BHBP,0,Not Given,217000,0,217000,30,GEN,MANDI,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bharatiya Bahujan Party
Parshotham Ram,http://myneta.info/hp2012/candidate.php?candidate_id=282,BALH (SC),BSP,0,10th Pass,2977000,50000,2927000,34,SC,MANDI,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Parveen Gupta,http://myneta.info/hp2012/candidate.php?candidate_id=580,SUJANPUR,IND,0,10th Pass,1000000,200000,800000,37,GEN,HAMIRPUR,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Parveen Kumar,http://myneta.info/hp2012/candidate.php?candidate_id=189,PALAMPUR,BJP,0,Graduate,4238539,1580210,2658329,19,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,http://myneta.info/hp2012/index.php?action=affidavitComparison&myneta_folder2=him2007&id1=189&id2=95,4238539,740000,3498539,473%,PAN is Different,Bharatiya Janata Party
Parveen Kumar,http://myneta.info/hp2012/candidate.php?candidate_id=481,SUJANPUR,IND,0,Graduate,550000,950000,-400000,37,GEN,HAMIRPUR,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Parveen Kumar,http://myneta.info/hp2012/candidate.php?candidate_id=480,SUJANPUR,BSP,4,Graduate,8584000,4064000,4520000,37,GEN,HAMIRPUR,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Bahujan Samaj Party
Pawan Kumar,http://myneta.info/hp2012/candidate.php?candidate_id=10,ARKI,IND,0,Post Graduate,1147000,0,1147000,50,GEN,SOLAN,SHIVALIK REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Pawan Kumar,http://myneta.info/hp2012/candidate.php?candidate_id=41,BHORANJ (SC),HLP,0,12th Pass,2703000,48000,2655000,36,SC,HAMIRPUR,SHIVALIK REGION,false,true,false,Male,NA,NA,NA,NA,NA,NA,Himachal Lokhit Party
Pawan Kumar Kajal,http://myneta.info/hp2012/candidate.php?candidate_id=544,KANGRA,IND,0,10th Pass,29663794,5232340,24431454,16,GEN,KANGRA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
Pawan Nayyar,http://myneta.info/hp2012/candidate.php?candidate_id=172,CHAMBA,INC,0,Graduate,27718841,585000,27133841,3,GEN,CHAMBA,BEAS RIVER REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Indian National Congress
Pawan Singh,http://myneta.info/hp2012/candidate.php?candidate_id=401,FATEHPUR,IND,0,10th Pass,499892,0,499892,8,GEN,KANGRA,BEAS RIVER REGION,false,false,false,Male,NA,NA,NA,NA,NA,NA,Independent
Piar Singh Bhogal,http://myneta.info/hp2012/candidate.php?candidate_id=540,BARSAR,IND,0,8th Pass,1462848,70000,1392848,39,GEN,HAMIRPUR,SHIVALIK REGION,true,true,false,Male,NA,NA,NA,NA,NA,NA,Independent
