candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
Dasari Shantha Kumar,http://myneta.info/ap09/candidate.php?candidate_id=373,NAGARKURNOOL,BSP,0,Not Given,250000,4000,246000,81,GEN,MAHABUBNAGAR,TELANGANA,,FALSE,FALSE,Male
Deepak Kumar B,http://myneta.info/ap09/candidate.php?candidate_id=824,AMBERPET,BSP,0,Not Given,80000,0,80000,59,GEN,HYDERABAD,TELANGANA,,FALSE,FALSE,Male
Devagurunadhan.S,http://myneta.info/ap09/candidate.php?candidate_id=2176,CHANDRAGIRI,BSP,2,10th Pass,6409000,0,6409000,285,GEN,CHITTOOR,RAYALA SEEMA,,TRUE,FALSE,Male
Devilalji Bhutada,http://myneta.info/ap09/candidate.php?candidate_id=974,GOSHAMAHAL,BSP,0,12th Pass,2532550,1000000,1532550,65,GEN,HYDERABAD,TELANGANA,,TRUE,FALSE,Male
Divakar Thotakuri,http://myneta.info/ap09/candidate.php?candidate_id=2580,GIDDALUR,BSP,0,12th Pass,0,0,0,231,GEN,PRAKASAM,COASTAL ANDHRA,,FALSE,FALSE,Male
DOMAKONDA MALLAIAH,http://myneta.info/ap09/candidate.php?candidate_id=1295,CHOPPADANDI (SC),BSP,0,12th Pass,100000,0,100000,27,SC,KARIMANAGAR,TELANGANA,,FALSE,FALSE,Male
Dr. Nuthalapati Rathnam,http://myneta.info/ap09/candidate.php?candidate_id=1812,RAMAGUNDAM,BSP,0,Literate,565000,0,565000,23,GEN,KARIMANAGAR,TELANGANA,,FALSE,FALSE,Male
Dupaty Charles Wesley,http://myneta.info/ap09/candidate.php?candidate_id=3024,SATTENPALLI,BSP,0,Not Given,340000,0,340000,217,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
Duru Vijayakumar,http://myneta.info/ap09/candidate.php?candidate_id=2860,MANGALAGIRI,BSP,0,Post Graduate,6067,0,6067,206,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
E Vittal Raj,http://myneta.info/ap09/candidate.php?candidate_id=1387,VISAKHAPATNAM EAST,BSP,0,Graduate,36150000,533591,35616409,140,GEN,VISHAKAPATNAM,COASTAL ANDHRA,,TRUE,FALSE,Male
E. Murugaiah,http://myneta.info/ap09/candidate.php?candidate_id=2242,GANGADHARA NELLORE(SC),BSP,0,12th Pass,480000,70000,410000,290,SC,CHITTOOR,RAYALA SEEMA,,FALSE,FALSE,Male
Enamala Chengal Rao,http://myneta.info/ap09/candidate.php?candidate_id=1891,SARVEPALLI,BSP,0,12th Pass,330000,0,330000,238,GEN,NELLORE,COASTAL ANDHRA,,FALSE,FALSE,Male
G. Mahipal Reddy,http://myneta.info/ap09/candidate.php?candidate_id=1746,PATANCHERU,BSP,2,10th Pass,51925000,3511969,48413031,40,GEN,MEDAK,TELANGANA,,TRUE,FALSE,Male
G. Siddalappa,http://myneta.info/ap09/candidate.php?candidate_id=2064,PENUKONDA,BSP,0,10th Pass,0,0,0,277,GEN,ANANTAPUR,RAYALA SEEMA,,FALSE,FALSE,Male
G.Ravinder,http://myneta.info/ap09/candidate.php?candidate_id=1004,CHANDRAYANGUTTA,BSP,1,12th Pass,40000,0,40000,67,GEN,HYDERABAD,TELANGANA,,TRUE,TRUE,Male
Gaddala Shankar,http://myneta.info/ap09/candidate.php?candidate_id=136,ADILABAD,BSP,0,10th Pass,0,0,0,7,GEN,ADILABAD,TELANGANA,,FALSE,FALSE,Male
Gaddam Bala Swamy,http://myneta.info/ap09/candidate.php?candidate_id=353,ALAMPUR (SC),BSP,0,Not Given,53000,0,53000,80,SC,MAHABUBNAGAR,TELANGANA,,FALSE,FALSE,Male
Gangaramaiah Reddypalli,http://myneta.info/ap09/candidate.php?candidate_id=2222,SATYAVEEDU (SC),BSP,0,Not Given,1000000,0,1000000,288,SC,CHITTOOR,RAYALA SEEMA,,FALSE,FALSE,Male
Gote Dana Lakshmi,http://myneta.info/ap09/candidate.php?candidate_id=82,BHADRACHELAM (ST),BSP,0,Not Given,79000,142000,-63000,119,ST,KHAMMAM,TELANGANA,,FALSE,FALSE,Female
Goverawagari Dhananjan,http://myneta.info/ap09/candidate.php?candidate_id=1543,RAJENDRANAGAR,BSP,0,Literate,0,0,0,51,GEN,RANGAREDDI,TELANGANA,,FALSE,FALSE,Male
Gudivada Kuppayya,http://myneta.info/ap09/candidate.php?candidate_id=69,ETCHERLA,BSP,0,Not Given,300000,10000,290000,126,GEN,SRIKAKULAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Gummalla Rajasekhar Reddy,http://myneta.info/ap09/candidate.php?candidate_id=2375,PRODDATUR,BSP,0,Graduate,20000,0,20000,251,GEN,KADAPA,RAYALA SEEMA,,FALSE,FALSE,Male
Gumpa Rama Rao,http://myneta.info/ap09/candidate.php?candidate_id=1617,PARVATHIPURAM (SC),BSP,0,Graduate,675000,0,675000,131,SC,VIZIANAGARAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Harijana Chandrasekhar,http://myneta.info/ap09/candidate.php?candidate_id=1987,SINGANAMALA (SC),BSP,0,Not Given,0,0,0,271,SC,ANANTAPUR,RAYALA SEEMA,,FALSE,FALSE,Male
Hussain Syed,http://myneta.info/ap09/candidate.php?candidate_id=116,Khammam,BSP,0,Graduate,1664500,645000,1019500,112,GEN,KHAMMAM,TELANGANA,,FALSE,FALSE,Male
ILLA RAMA GANGADHARA RAO,http://myneta.info/ap09/candidate.php?candidate_id=1140,ANAKAPALLE,BSP,0,10th Pass,914000,350000,564000,149,GEN,VISHAKAPATNAM,COASTAL ANDHRA,,TRUE,FALSE,Male
Imandi Venkata Kurmarao,http://myneta.info/ap09/candidate.php?candidate_id=1680,SRUNGAVARAPUKOTA,BSP,0,Graduate,220000,0,220000,138,GEN,VIZIANAGARAM,COASTAL ANDHRA,,FALSE,FALSE,Male
Ingilala Seenaiah,http://myneta.info/ap09/candidate.php?candidate_id=1902,GUDUR (SC),BSP,0,8th Pass,2635,0,2635,239,SC,NELLORE,COASTAL ANDHRA,,FALSE,FALSE,Male
Iskapatla Rambabu,http://myneta.info/ap09/candidate.php?candidate_id=2816,Rajamundry Rural,BSP,0,Graduate,75000,0,75000,170,GEN,EAST GODAVARI,COASTAL ANDHRA,,FALSE,FALSE,Male
J. Venugopal Raju,http://myneta.info/ap09/candidate.php?candidate_id=2232,NAGARI,BSP,0,12th Pass,4305000,3037168,1267832,289,GEN,CHITTOOR,RAYALA SEEMA,,FALSE,FALSE,Male
Jagannadham Sangeetharao,http://myneta.info/ap09/candidate.php?candidate_id=2496,SANTHANUTHALAPADU (SC),BSP,0,Not Given,994887,0,994887,226,SC,PRAKASAM,COASTAL ANDHRA,,FALSE,FALSE,Male
JANAGAM YADAGIRI,http://myneta.info/ap09/candidate.php?candidate_id=506,MUNUGODE,BSP,0,Literate,2000000,0,2000000,93,GEN,NALGONDA,TELANGANA,,FALSE,FALSE,Male
Janardhan Lakumala,http://myneta.info/ap09/candidate.php?candidate_id=1730,ZAHIRABAD (SC),BSP,0,12th Pass,1005000,0,1005000,38,SC,MEDAK,TELANGANA,,FALSE,FALSE,Male
Jaswanth Reddy,http://myneta.info/ap09/candidate.php?candidate_id=326,WANAPARTHY,BSP,0,12th Pass,465000,25000,440000,78,GEN,MAHABUBNAGAR,TELANGANA,,FALSE,FALSE,Male
Jupudi Srinivasaro,http://myneta.info/ap09/candidate.php?candidate_id=2838,PEDAKURAPADU,BSP,0,Not Given,45000,0,45000,204,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
K Raj Kumar,http://myneta.info/ap09/candidate.php?candidate_id=637,WARANGAL WEST,BSP,0,10th Pass,60000,0,60000,105,GEN,WARANGAL,TELANGANA,,FALSE,FALSE,Male
K Siddi Ramulu,http://myneta.info/ap09/candidate.php?candidate_id=1191,KAMAREDDY,BSP,0,Graduate,375000,0,375000,16,GEN,NIZAMABAD,TELANGANA,,FALSE,FALSE,Male
K Vara Lakshmi,http://myneta.info/ap09/candidate.php?candidate_id=1163,ELAMANCHILI,BSP,0,Not Given,40000,0,40000,151,GEN,VISHAKAPATNAM,COASTAL ANDHRA,,FALSE,FALSE,Female
K. Kashiram,http://myneta.info/ap09/candidate.php?candidate_id=917,KHAIRATABAD,BSP,0,Graduate,208000,0,208000,60,GEN,HYDERABAD,TELANGANA,,FALSE,FALSE,Male
K.Lakke Rao,http://myneta.info/ap09/candidate.php?candidate_id=198,KHANAPUR (ST),BSP,0,12th Pass,550000,0,550000,6,ST,ADILABAD,TELANGANA,,FALSE,FALSE,Male
K.Prakashamu,http://myneta.info/ap09/candidate.php?candidate_id=214,NIRMAL,BSP,0,10th Pass,1482000,0,1482000,9,GEN,ADILABAD,TELANGANA,,TRUE,FALSE,Male
KALIDAS MASHALA,http://myneta.info/ap09/candidate.php?candidate_id=962,KARWAN,BSP,0,10th Pass,850000,0,850000,64,GEN,HYDERABAD,TELANGANA,,TRUE,FALSE,Female
Kanaparthi Aruna Rao,http://myneta.info/ap09/candidate.php?candidate_id=2920,TENALI,BSP,0,Post Graduate,1377224,0,1377224,210,GEN,GUNTUR,COASTAL ANDHRA,,FALSE,FALSE,Male
Kandregula Udayasri,http://myneta.info/ap09/candidate.php?candidate_id=2780,MANDAPETA,BSP,0,5th Pass,1345000,15000,1330000,167,GEN,EAST GODAVARI,COASTAL ANDHRA,,FALSE,FALSE,Female
Kanigiri Lingam,http://myneta.info/ap09/candidate.php?candidate_id=1720,NARSAPUR,BSP,0,10th Pass,1395000,0,1395000,37,GEN,MEDAK,TELANGANA,,TRUE,FALSE,Male
Kannedari Nagabhushanam,http://myneta.info/ap09/candidate.php?candidate_id=2535,KANDUKUR,BSP,0,Graduate,0,55000,-55000,228,GEN,PRAKASAM,COASTAL ANDHRA,,FALSE,FALSE,Male
