candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Syed Ismail,http://myneta.info/karnataka2013/candidate.php?candidate_id=1970,HOSADURGA,JD(U),0,8th Pass,410274,0,410274,101,GEN,CHITRADURGA,BANGALORE DIVISION,false,false,false,Male,,,,,,
Syed Khadeer,http://myneta.info/karnataka2013/candidate.php?candidate_id=1220,CHAMRAJAPET,IND,0,Graduate Professional,14587000,3737000,10850000,168,GEN,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
Syed Majahar,http://myneta.info/karnataka2013/candidate.php?candidate_id=2794,SHIMOGA,IND,0,Others,7600000,0,7600000,113,GEN,SHIMOGA,BANGALORE DIVISION,false,true,false,Male,,,,,,
Syed Mohid Altaf,http://myneta.info/karnataka2013/candidate.php?candidate_id=618,SARVAGNANAGAR,JD(S),0,Post Graduate,11644151,4500000,7144151,160,GEN,BANGALORE,BANGALORE DIVISION,true,true,false,Male,,,,,,
Syed Mujeeb,http://myneta.info/karnataka2013/candidate.php?candidate_id=2698,RAICHUR,WPI,0,12th Pass,780000,30000,750000,54,GEN,RAICHUR,GULBARGA REGION,false,false,false,Male,,,,,,
Syed Mustafa,http://myneta.info/karnataka2013/candidate.php?candidate_id=1255,HEBBAL,IND,0,Graduate Professional,100216,0,100216,158,GEN,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
Syed Sabeer,http://myneta.info/karnataka2013/candidate.php?candidate_id=1192,VIJAYANAGAR,IND,0,5th Pass,2055000,175000,1880000,167,GEN,BANGALORE,BANGALORE DIVISION,true,true,false,Male,,,,,,
Syed Sabir Nana,http://myneta.info/karnataka2013/candidate.php?candidate_id=2728,SINDHANUR,KMP,0,Graduate,4540000,200000,4340000,58,GEN,RAICHUR,GULBARGA REGION,false,false,false,Male,,,,,,
Syed Saleem,http://myneta.info/karnataka2013/candidate.php?candidate_id=1330,SHIVAJINAGAR,SJP(K),0,Graduate Professional,10000,0,10000,162,GEN,BANGALORE,BANGALORE DIVISION,false,false,false,Male,,,,,,
Syed Shameer,http://myneta.info/karnataka2013/candidate.php?candidate_id=2795,SHIMOGA,IND,1,8th Pass,1381500,10000,1371500,113,GEN,SHIMOGA,BANGALORE DIVISION,false,false,false,Male,,,,,,
Syed Wajid Ahmed,http://myneta.info/karnataka2013/candidate.php?candidate_id=2870,TUMKUR CITY,IND,0,10th Pass,25000,0,25000,132,GEN,TUMKUR,BANGALORE DIVISION,false,false,false,Male,,,,,,
Syed Yasin,http://myneta.info/karnataka2013/candidate.php?candidate_id=363,RAICHUR,INC,0,Post Graduate,28054219,965836,27088383,54,GEN,RAICHUR,GULBARGA REGION,true,true,false,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=363&id2=637,28054219,4550000,23504219,517%,PAN was missing last time
Syed Zafar Hussain,http://myneta.info/karnataka2013/candidate.php?candidate_id=455,GULBARGA UTTAR,JD(S),0,10th Pass,8600000,3950000,4650000,45,GEN,GULBARGA,GULBARGA REGION,true,true,false,Male,,,,,,
Syed Zubair,http://myneta.info/karnataka2013/candidate.php?candidate_id=1205,PADMANABANAGAR,IND,0,8th Pass,267900,0,267900,171,GEN,BANGALORE,BANGALORE DIVISION,false,true,false,Male,,,,,,
T B Jayachandra,http://myneta.info/karnataka2013/candidate.php?candidate_id=1036,SIRA,INC,0,Graduate Professional,124301835,27764157,96537678,136,GEN,TUMKUR,BANGALORE DIVISION,true,true,false,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=1036&id2=1334,124301835,62470543,61831292,99%,
T C Rajendra,http://myneta.info/karnataka2013/candidate.php?candidate_id=807,SRINGERI,JD(S),0,Graduate,47418696,12501932,34916764,123,GEN,CHICKMAGALUR,MYSORE DIVISION,true,true,false,Male,,,,,,
T D Raje Gowda,http://myneta.info/karnataka2013/candidate.php?candidate_id=322,SRINGERI,INC,0,Graduate,250374475,167600000,82774475,123,GEN,CHICKMAGALUR,MYSORE DIVISION,false,false,false,Male,,,,,,
T Ismail,http://myneta.info/karnataka2013/candidate.php?candidate_id=2047,MANGALORE,IND,0,Not Given,2047931,0,2047931,204,GEN,DAKSHINA KANNADA,MYSORE DIVISION,false,true,false,Male,,,,,,
T L Ravishankar,http://myneta.info/karnataka2013/candidate.php?candidate_id=1004,MANDYA,BJP,1,10th Pass,26705000,75000,26630000,189,GEN,MANDYA,MYSORE DIVISION,false,true,false,Male,,,,,,
T. Basavarajappa,http://myneta.info/karnataka2013/candidate.php?candidate_id=1974,HOLALKERE,Ambedkar National Congress,1,12th Pass,2711500,0,2711500,102,SC,CHITRADURGA,BANGALORE DIVISION,false,true,true,Male,,,,,,
T. M. Shivanna,http://myneta.info/karnataka2013/candidate.php?candidate_id=2466,MULBAGAL,IND,0,10th Pass,330000,0,330000,145,SC,KOLAR,BANGALORE DIVISION,false,false,false,Male,,,,,,
T. R. Indramma,http://myneta.info/karnataka2013/candidate.php?candidate_id=2108,DAVANAGERE SOUTH,IND,0,10th Pass,14318702,0,14318702,107,GEN,DAVANAGERE,BANGALORE DIVISION,true,true,false,Female,,,,,,
T. Shivaramu,http://myneta.info/karnataka2013/candidate.php?candidate_id=2665,CHAMARAJA,IND,0,Graduate,1927000,850000,1077000,217,GEN,MYSORE,MYSORE DIVISION,true,true,false,Male,,,,,,
T.B.Sadguru,http://myneta.info/karnataka2013/candidate.php?candidate_id=2610,VARUNA,SJP,0,10th Pass,500000,75000,425000,219,GEN,MYSORE,MYSORE DIVISION,false,true,false,Male,,,,,,
T.Ganesha  Dasakariyappa,http://myneta.info/karnataka2013/candidate.php?candidate_id=1120,DAVANAGERE NORTH,JD(S),0,10th Pass,651000,75000,576000,106,GEN,DAVANAGERE,BANGALORE DIVISION,false,false,false,Male,,,,,,
T.H. Suresh Babu,http://myneta.info/karnataka2013/candidate.php?candidate_id=251,KAMPLI,BSRC,2,Graduate Professional,65222822,18000000,47222822,91,ST,BELLARY,GULBARGA REGION,true,true,false,Male,http://myneta.info/karnataka2013/index.php?action=affidavitComparison&myneta_folder2=karnatka2008&id1=251&id2=379,65222822,15876875,49345947,311%,Party in last election was BJP
T.Hombegowda,http://myneta.info/karnataka2013/candidate.php?candidate_id=2764,MAGADI,IND,0,8th Pass,100000,0,100000,182,GEN,RAMANAGARA,BANGALORE DIVISION,false,false,false,Male,,,,,,
