candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Ngampay Lamaty,http://myneta.info/an2009/candidate.php?candidate_id=147,Khonsa East,PPA,0,12th Pass,1173000,0,1173000,55,ST,NA,NA,,false,false,Male,,,,,,
Ngurang Pinch,http://myneta.info/an2009/candidate.php?candidate_id=32,Doimukh,NCP,0,8th Pass,1859293,0,1859293,14,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=32&id2=33,1859293,7417134,-5557841,-75%,Age Difference=1  Party in last election was IND
Nido Pavitra,http://myneta.info/an2009/candidate.php?candidate_id=63,Raga,INC,0,Graduate,7517324,70489280,-62971956,25,ST,NA,NA,,true,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=63&id2=62,7517324,5140060,2377264,46%,PAN was missing last time Party in last election was IND
Nyato Rigia,http://myneta.info/an2009/candidate.php?candidate_id=56,Taliha,AITC,0,Graduate,250000,0,250000,23,ST,NA,NA,,false,false,Male,,,,,,
Olom Panyang,http://myneta.info/an2009/candidate.php?candidate_id=105,Mariyang_Geku,AITC,0,10th Pass,2000000,0,2000000,40,ST,NA,NA,,false,false,Male,,,,,,
Omak Apang,http://myneta.info/an2009/candidate.php?candidate_id=95,Pasighat West,INC,0,Post Graduate,2290000,0,2290000,37,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=95&id2=104,2290000,7988433,-5698433,-71%,PAN is missing this time
Oyem Dai,http://myneta.info/an2009/candidate.php?candidate_id=99,Pasighat East,BJP,0,10th Pass,6810000,0,6810000,38,ST,NA,NA,,false,false,Male,,,,,,
Padi Richo,http://myneta.info/an2009/candidate.php?candidate_id=40,Ziro Hapoli,INC,1,12th Pass,16169612,1711822,14457790,17,ST,NA,NA,,false,false,Male,,,,,,
Pasang Dorjee Sona,http://myneta.info/an2009/candidate.php?candidate_id=84,Mechuka,INC,0,Graduate Professional,254915,0,254915,33,ST,NA,NA,,false,false,Male,,,,,,
Phosum Khimhun,http://myneta.info/an2009/candidate.php?candidate_id=137,Changlang South,INC,0,12th Pass,5467643,0,5467643,52,ST,NA,NA,,true,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=137&id2=64,5467643,3230135,2237508,69%,PAN was missing last time Party in last election was IND
PHURPA TSERING,http://myneta.info/an2009/candidate.php?candidate_id=6,Dirang,PPA,0,12th Pass,13367422,0,13367422,4,ST,NA,NA,,false,false,Male,,,,,,
Punji Mara,http://myneta.info/an2009/candidate.php?candidate_id=55,Taliha,INC,0,Others,2300000,0,2300000,23,ST,NA,NA,,false,false,Male,,,,,,
R. K Khrimey,http://myneta.info/an2009/candidate.php?candidate_id=9,Kalaktang,NCP,0,Graduate,23885000,0,23885000,5,ST,NA,NA,,false,false,Male,,,,,,
R.T.Khunjuju,http://myneta.info/an2009/candidate.php?candidate_id=14,Bomdila,INC,0,12th Pass,2295000,0,2295000,7,ST,NA,NA,,false,false,Male,,,,,,
Raising Perme,http://myneta.info/an2009/candidate.php?candidate_id=104,Mariyang_Geku,NCP,0,Graduate,31540000,0,31540000,40,ST,NA,NA,,false,false,Male,,,,,,
Rajesh Tacho,http://myneta.info/an2009/candidate.php?candidate_id=107,Anini,INC,0,10th Pass,16275600,0,16275600,41,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=107&id2=96,16275600,9891770,6383830,65%,Age Difference=0
Ralom Borang,http://myneta.info/an2009/candidate.php?candidate_id=101,Mebo,NCP,0,Graduate,32085000,0,32085000,39,ST,NA,NA,,false,false,Male,,,,,,
RODING PERTIN,http://myneta.info/an2009/candidate.php?candidate_id=3,Dambuk,INC,0,Graduate,3589555,0,3589555,42,ST,NA,NA,,false,false,Male,,,,,,
Sambu Siongju,http://myneta.info/an2009/candidate.php?candidate_id=15,Bomdila,BJP,0,Graduate,7566500,0,7566500,7,ST,NA,NA,,false,false,Male,,,,,,
Samchom Ngemu,http://myneta.info/an2009/candidate.php?candidate_id=133,Miao,NCP,0,Post Graduate,7327384,0,7327384,50,ST,NA,NA,,false,false,Male,,,,,,
Setong Sena,http://myneta.info/an2009/candidate.php?candidate_id=134,Nampong,INC,0,Graduate,7260500,0,7260500,51,ST,NA,NA,,false,false,Male,http://myneta.info/an2009/index.php?action=affidavitComparison&myneta_folder2=an2004&id1=134&id2=70,7260500,3930500,3330000,85%,
SHRI LAETA UMBREY,http://myneta.info/an2009/candidate.php?candidate_id=2,Roing,AITC,0,Graduate,4872880,0,4872880,43,ST,NA,NA,,false,false,Male,,,,,,
Siraionq Singpho,http://myneta.info/an2009/candidate.php?candidate_id=131,Bordumsa_Diyum,BJP,0,Graduate,81000,0,81000,49,GEN,NA,NA,,false,false,Male,,,,,,
SMTI POMOYA MITHI,http://myneta.info/an2009/candidate.php?candidate_id=1,Roing,INC,0,12th Pass,24616771,0,24616771,43,ST,NA,NA,,false,false,Female,,,,,,
Sotai Kri,http://myneta.info/an2009/candidate.php?candidate_id=126,Lekang,BJP,0,5th Pass,8087000,0,8087000,48,ST,NA,NA,,false,false,Male,,,,,,
Subu Koyang,http://myneta.info/an2009/candidate.php?candidate_id=41,Ziro Hapoli,NCP,0,Graduate Professional,1295110,0,1295110,17,ST,NA,NA,,false,false,Male,,,,,,
T L Rajkumar,http://myneta.info/an2009/candidate.php?candidate_id=144,Khonsa East,INC,0,Graduate,50622420,0,50622420,55,ST,NA,NA,,true,false,Male,,,,,,
T.C.Teli,http://myneta.info/an2009/candidate.php?candidate_id=33,Doimukh,AITC,0,Graduate,80890348,0,80890348,14,ST,NA,NA,,false,false,Male,,,,,,
Tad Tana,http://myneta.info/an2009/candidate.php?candidate_id=35,Sagalee,NCP,0,Illiterate,3635000,0,3635000,15,ST,NA,NA,,false,false,Male,,,,,,
Tagung Neri,http://myneta.info/an2009/candidate.php?candidate_id=17,Bameng,AITC,0,12th Pass,5840000,600000,5240000,8,ST,NA,NA,,true,false,Male,,,,,,
