candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
HIREN DAS,http://myneta.info/assam2006/candidate.php?candidate_id=43,Mangaldoi,AGP,0,Graduate,2653073,0,2653073,67,SC,NA,NA,,false,false,Male,,,,,
HITENDRA NATH GOSWAMI,http://myneta.info/assam2006/candidate.php?candidate_id=104,Jorhat,AGP,0,Post Graduate,3703003,454057,3248946,98,GEN,NA,NA,,true,false,Male,,,,,
HOLIRAM TERANG,http://myneta.info/assam2006/candidate.php?candidate_id=140,Baithalangso,Autonomous State Demand Committee,0,Graduate,3121357,159905,2961452,20,ST,NA,NA,,false,false,Male,,,,,
ILIAS ALI,http://myneta.info/assam2006/candidate.php?candidate_id=45,Dalgaon,IND,0,10th Pass,235134,0,235134,68,GEN,NA,NA,,true,false,Male,,,,,
ISMAIL HUSSAIN,http://myneta.info/assam2006/candidate.php?candidate_id=8,Barpeta,INC,0,Post Graduate,5474770,354414,5120356,43,GEN,NA,NA,,true,false,Male,,,,,
ISRAIL NANDA,http://myneta.info/assam2006/candidate.php?candidate_id=238,Tinsukia,AGP,0,12th Pass,508387,130722,377665,122,GEN,NA,NA,,true,false,Male,,,,,
JAGADISH BHUYAN,http://myneta.info/assam2006/candidate.php?candidate_id=246,Sadiya,AGP,0,Post Graduate,3379000,722696,2656304,126,GEN,NA,NA,,false,false,Male,,,,,
JAGAT SING ENGTI,http://myneta.info/assam2006/candidate.php?candidate_id=133,Bokajan,Autonomous State Demand Committee,0,Graduate,1624384,0,1624384,17,ST,NA,NA,,false,false,Male,,,,,
JAMAN SINGH BRAHMA,http://myneta.info/assam2006/candidate.php?candidate_id=250,Udalguri,INC,0,Graduate,4660180,65000,4595180,69,ST,NA,NA,,true,false,Male,,,,,
JATIN MALI,http://myneta.info/assam2006/candidate.php?candidate_id=118,Palasbari,AGP,0,Post Graduate,303909,481000,-177091,50,GEN,NA,NA,,false,false,Male,,,,,
JIBANTARA GHATOWAR,http://myneta.info/assam2006/candidate.php?candidate_id=65,Moran,INC,0,10th Pass,6787257,450008,6337249,115,GEN,NA,NA,,true,false,Female,,,,,
JITEN GOGOI,http://myneta.info/assam2006/candidate.php?candidate_id=87,Bokakhat,IND,0,8th Pass,13659020,900000,12759020,93,GEN,NA,NA,,true,false,Male,,,,,
JITU KISSAN,http://myneta.info/assam2006/candidate.php?candidate_id=252,Majbat,AUDF,0,Graduate,100786,0,100786,70,GEN,NA,NA,,false,false,Male,,,,,
JONJONALI BARUAH,http://myneta.info/assam2006/candidate.php?candidate_id=169,Marigaon,INC,0,Graduate,18774794,3112702,15662092,80,GEN,NA,NA,,true,false,Female,,,,,
JOSEPH TOPPO,http://myneta.info/assam2006/candidate.php?candidate_id=221,Dhekiajuli,AGP,0,10th Pass,287619,199968,87651,71,GEN,NA,NA,,true,false,Male,,,,,
JYOTI PRASAD DAS,http://myneta.info/assam2006/candidate.php?candidate_id=113,Boko,AGP,0,Graduate,1463327,339944,1123383,48,SC,NA,NA,,true,false,Male,,,,,
K.M. BAHARUL ISLAM,http://myneta.info/assam2006/candidate.php?candidate_id=144,Patharkandi,AUDF,0,Doctorate,1919402,0,1919402,2,GEN,NA,NA,,true,false,Male,,,,,
KAMAKHYA PRASAD MALA,http://myneta.info/assam2006/candidate.php?candidate_id=30,Dholai,IND,1,Not Given,684810,0,684810,11,SC,NA,NA,,false,false,Male,,,,,
KAMAL SHING NARZARY,http://myneta.info/assam2006/candidate.php?candidate_id=19,Bijni,IND,0,Graduate,1037221,0,1037221,33,GEN,NA,NA,,false,false,Male,,,,,
KAMALENDU BHATTACHARJEE,http://myneta.info/assam2006/candidate.php?candidate_id=32,Udharbond,IND,0,Post Graduate,16610808,1490576,15120232,12,GEN,NA,NA,,false,false,Male,,,,,
KAMALESWAR MEDHI,http://myneta.info/assam2006/candidate.php?candidate_id=14,Sarukhetri,AGP,0,8th Pass,4638487,884928,3753559,46,GEN,NA,NA,,true,false,Male,,,,,
KAMALI BASUMATARI,http://myneta.info/assam2006/candidate.php?candidate_id=247,Panery,IND,0,10th Pass,464217,270870,193347,64,GEN,NA,NA,,false,false,Female,,,,,
KANAK CHANDRA BARO,http://myneta.info/assam2006/candidate.php?candidate_id=4,Bhabanipur,IND,0,10th Pass,257000,0,257000,41,GEN,NA,NA,,false,false,Male,,,,,
KARENDRA BASUMATARY,http://myneta.info/assam2006/candidate.php?candidate_id=251,Majbat,IND,0,Graduate,1878424,0,1878424,70,GEN,NA,NA,,false,false,Male,,,,,
KARTIK SENA SINHA,http://myneta.info/assam2006/candidate.php?candidate_id=143,Patharkandi,BJP,0,12th Pass,53014268,13625600,39388668,2,GEN,NA,NA,,true,false,Male,,,,,
KESHAB MAHANTA,http://myneta.info/assam2006/candidate.php?candidate_id=181,Kaliabor,AGP,0,Post Graduate,4917390,250382,4667008,89,GEN,NA,NA,,true,false,Male,,,,,
KESHARAM BORA,http://myneta.info/assam2006/candidate.php?candidate_id=160,Bihpuria,AGP,0,Graduate,1051180,0,1051180,109,GEN,NA,NA,,false,false,Male,,,,,
KETAKI PRASAD DUTTA,http://myneta.info/assam2006/candidate.php?candidate_id=146,Karimganj North,INC,0,Graduate,1042922,0,1042922,3,GEN,NA,NA,,false,false,Male,,,,,
