candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
JAMES MARVIN PARIAT,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=72,Pynthorumkhrah,NCP,0,12th Pass,26695000,0,26695000,18,GEN,NA,NA,,false,false,Male
JAMES PANGSANG KONGKAL SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=105,Rongchugiri,NCP,0,Graduate,7228900,1770000,5458900,47,ST,NA,NA,,false,false,Male
JAN N. ARENGH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=290,Dalu,IND,0,Graduate Professional,543614,0,543614,55,ST,NA,NA,,false,false,Male
JEMBERSON R. MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=293,Jirang,MDP,0,12th Pass,7986000,0,7986000,11,ST,NA,NA,,false,false,Male
JEMINO MAWTHOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=210,Malki-Nongthymmai,NCP,0,Doctorate,555909,211528,344381,16,ST,NA,NA,,false,false,Male
JEPPRIN D. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=318,Nongstoin,IND,0,12th Pass,61000,0,61000,34,ST,NA,NA,,false,false,Male
JIMMY THOMPSON L. NONGLAIT,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=177,Nongspung,NCP,0,Graduate,940000,0,940000,13,ST,NA,NA,,false,false,Male
JOHN G SOANES,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=209,Laitumkharah,BJP,0,Graduate,1912804,0,1912804,17,ST,NA,NA,,false,false,Male
JOHN LESLEE K. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=238,Tura,IND,0,Post Graduate,1527000,75680,1451320,52,ST,NA,NA,,false,false,Male
JOHN MANNER MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=47,Bajengdoba,NCP,0,Graduate,3395319,0,3395319,44,ST,NA,NA,,false,false,Male
JONA MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=287,Dadenggiri,IND,0,10th Pass,58000,0,58000,46,ST,NA,NA,,false,false,Male
JOSBURDIN A.SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=258,Dadenggiri,IND,0,12th Pass,685676,0,685676,46,ST,NA,NA,,false,false,Male
JOTIN KHARDEWSAW,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=149,Langrin,MDP,0,12th Pass,520000,0,520000,35,ST,NA,NA,,false,false,Male
JULIUS SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=348,Baghmara,IND,0,12th Pass,970000,0,970000,37,ST,NA,NA,,false,false,Male
JUNIOR LAMIN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=132,War-Jaintia,BJP,0,Not Given,13000,0,13000,1,ST,NA,NA,,false,false,Male
K. PHLASTING WELL PANGNIANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=42,Mawthengkut,HPDP,0,Graduate,680000,0,680000,36,ST,NA,NA,,false,false,Male
KENNEDY CORNELIUS KHYRIEM,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=52,Nongspung,INC,0,12th Pass,2929621,0,2929621,13,ST,NA,NA,,false,false,Male
KERLANG KUPAR MAWLONG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=308,Mawkyrwat,CPI,0,10th Pass,293756,0,293756,32,ST,NA,NA,,false,false,Male
KHAN KHONG DKHAR,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=54,Nongshken,INC,0,Graduate,953231,0,953231,28,ST,NA,NA,,false,false,Male
KHRANGLIN LYNGKHOI,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=28,Langrin,UDP,0,Graduate,8091162,953533,7137629,35,ST,NA,NA,,false,false,Male
KHRAWKUPAR JYRWA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=82,Mawsynram,NCP,0,12th Pass,1436825,0,1436825,31,ST,NA,NA,,false,false,Male
KODIN NONGRUM,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=224,Sohra,MDP,0,12th Pass,1600,0,1600,29,ST,NA,NA,,false,false,Male
KULERT CHERAN MOMIN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=338,Tura,IND,0,Post Graduate,2105000,391197,1713803,52,ST,NA,NA,,false,false,Male
LABORIOUS MANIK S.  SYIEM,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=158,Jirang,NCP,0,Post Graduate,6721500,65000,6656500,11,ST,NA,NA,,false,false,Male
LAHKMEN RYMBUI,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=9,War-Jaintia,INC,0,Graduate,25040376,0,25040376,1,ST,NA,NA,,false,false,Male
LAM LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=161,Pariong,UDP,0,12th Pass,8650000,0,8650000,33,ST,NA,NA,,false,false,Male
LAMBOR MALNGIANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=58,Nongkrem,KHNAM,0,Graduate,1418249,0,1418249,26,ST,NA,NA,,false,false,Male
LATIPLANG KHARKONGOR,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=212,Malki-Nongthymmai,KHNAM,0,Graduate,356869,0,356869,16,ST,NA,NA,,false,false,Male
LAZARUS M. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=344,Baghmara,IND,0,Graduate,57701,0,57701,37,ST,NA,NA,,false,false,Male
LEENGA A. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=148,Langrin,NCP,0,Graduate,3352000,0,3352000,35,ST,NA,NA,,false,false,Male
LESTON WANSWETT,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=86,Shella,INC,0,Graduate,12350000,1500000,10850000,30,ST,NA,NA,,false,false,Male
LIMISON SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=87,Tikrikilla,IND,0,10th Pass,1132698,0,1132698,45,ST,NA,NA,,false,false,Male
LINDIN C. MOMIN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=236,Kherapara,UDP,0,10th Pass,24200,200000,-175800,54,ST,NA,NA,,false,false,Male
LIVINGSTONE R. MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=319,Nongstoin,BJP,0,10th Pass,0,0,0,34,ST,NA,NA,,false,false,Male
LUDWIG ERHERD SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=331,Rongram,UDP,0,12th Pass,370000,475000,-105000,51,ST,NA,NA,,false,false,Male
M. AMPAREEN LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=73,Laitumkharah,UDP,0,Doctorate,23518,127711,-104193,17,ST,NA,NA,,false,false,Female
MALCOLM B. TARIANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=74,Laitumkharah,IND,0,Post Graduate,7829511,0,7829511,17,ST,NA,NA,,false,false,Male
MANAS CHAUDHURI,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=65,Mawprem,IND,0,Graduate,20630515,624869,20005646,21,GEN,NA,NA,,true,false,Male
MANIRUL ISLAM SARKAR,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=104,Phulbari,INC,0,Graduate,2213176,0,2213176,48,GEN,NA,NA,,false,false,Male
MANOSHA WARJRI,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=191,Sohryngkham,BJP,0,Graduate,300000,0,300000,24,ST,NA,NA,,false,false,Male
MARKUS LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=157,Nongpoh,HPDP,0,Graduate,24139,0,24139,10,ST,NA,NA,,false,false,Male
MARTHON SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=170,Mendipathar,NCP,0,Graduate,2002803,0,2002803,41,ST,NA,NA,,false,false,Male
MARTIN M. DANGGO,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=27,Langrin,INC,0,Graduate,1788556,0,1788556,35,ST,NA,NA,,false,false,Male
MARTLE N MUKHIM,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=50,Dienglieng,MDP,0,12th Pass,194434,0,194434,25,ST,NA,NA,,false,false,Male
MASONSING SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=7,Chokpot,NCP,0,12th Pass,1776657,0,1776657,53,ST,NA,NA,,false,false,Male
MATTSING NONGRUM,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=336,Sohra,IND,0,Graduate,255705,0,255705,29,ST,NA,NA,,false,false,Male
MAYSALIN WAR,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=313,Mawthengkut,IND,0,12th Pass,102797500,0,102797500,36,ST,NA,NA,,false,false,Female
MEHALLIN S. MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=312,Mawthengkut,IND,0,10th Pass,140000,0,140000,36,ST,NA,NA,,false,false,Male
MERISTELLA WAHLANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=205,Pynthorumkhrah,LJP,0,Graduate,1141140,377737,763403,18,GEN,NA,NA,,false,false,Female
METBAH LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=23,Mairang,UDP,0,10th Pass,210063640,1375029,208688611,12,ST,NA,NA,,false,false,Male
METHRONA MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=332,Rongram,IND,0,10th Pass,905000,0,905000,51,ST,NA,NA,,false,false,Male
MICHAEL N. SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=237,Kherapara,IND,0,12th Pass,481550,0,481550,54,ST,NA,NA,,false,false,Male
MIHSALAN SUCHIANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=12,Raliang,UDP,0,Post Graduate,4814173,0,4814173,4,ST,NA,NA,,false,false,Male
MILSON SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=323,Rajabala,IND,0,12th Pass,125000,0,125000,49,ST,NA,NA,,false,false,Male
MITCHEL WANKHAR,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=316,Nongkrem,IND,0,12th Pass,51148017,512698,50635319,26,ST,NA,NA,,false,false,Male
MONENDRO AGITOK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=119,Ampatigiri,IND,0,Graduate,2740000,0,2740000,58,ST,NA,NA,,false,false,Male
MONINDRO RABHA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=226,Tikrikilla,INC,0,Graduate,3837273,0,3837273,45,ST,NA,NA,,false,false,Male
MOONLIGHT PARIAT,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=138,Jowai,NCP,0,Not Given,17499849,0,17499849,7,ST,NA,NA,,false,false,Male
MORDING DARPHANG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=156,Umroi,NCP,0,12th Pass,1370000,0,1370000,9,ST,NA,NA,,false,false,Male
MOSES CH SANGMA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=244,Selsella,UDP,0,Graduate,1174000,0,1174000,50,ST,NA,NA,,false,false,Male
MRINAL MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=227,Tikrikilla,NCP,0,Graduate,1688433,0,1688433,45,ST,NA,NA,,false,false,Male
N.BELIRIS KHARDUIA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=179,Nongshken,UDP,0,Graduate,3700000,528416,3171584,28,ST,NA,NA,,false,false,Male
NAGENDRA RABHA,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=88,Tikrikilla,IND,0,Graduate Professional,1251762,0,1251762,45,ST,NA,NA,,false,false,Male
NEHLANG LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=19,Rymbai,INC,0,5th Pass,46170974,0,46170974,2,ST,NA,NA,,false,false,Male
NEPENDROY CH. MARAK,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=259,Rangsakona,IND,0,12th Pass,863129,0,863129,57,ST,NA,NA,,false,false,Male
NICHOLAS MARWEIN,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=166,Nongstoin,NCP,0,Post Graduate,1544000,403649,1140351,34,ST,NA,NA,,false,false,Male
NICHOLAS POHLONG,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=180,Nongshken,NCP,0,Graduate Professional,658651,0,658651,28,ST,NA,NA,,false,false,Male
NICKY F LYNGDOH,http://myneta.info/2008Meghalaya/candidate.php?candidate_id=207,Laitumkharah,INC,0,12th Pass,497180,0,497180,17,ST,NA,NA,,false,false,Male
