candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Chandrakant Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1197,ABHANPUR,SP,0,Doctorate,3793000,1090000,2703000,53,GEN,RAIPUR,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Chandrakant Yadu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1112,BHATAPARA,BSP,2,Others,3491817,40721,3451096,46,GEN,BALODABAZAR,CHHATTISGARH PLAINS,true,true,true,Male,,,,,,
Chandrashekhar Mishra,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1234,KASDOL,IND,0,12th Pass,12157134,0,12157134,44,GEN,BALODABAZAR,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chandrashekhar Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1190,ABHANPUR,BJP,0,Graduate,19618407,331292,19287115,53,GEN,RAIPUR,CHHATTISGARH PLAINS,true,true,false,Male,http://myneta.info/chhattisgarh2013/index.php?action=affidavitComparison&myneta_folder2=2008Chhattisgarh&id1=1190&id2=261,19618407,6703914,12914493,193%,PAN is Different
Chandresh Kumar Baghel,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=92,KHUJJI,SHS,0,5th Pass,918000,5000,913000,77,GEN,RAJNANDGAON,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chandrika Chandravanshi,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=470,PANDARIYA,BSP,0,10th Pass,7296500,0,7296500,71,GEN,KABIRDHAM,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chhabi Lal Ratre,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=546,SARANGARH,Bharatiya Dalit Congress,0,Graduate,5120000,60000,5060000,17,SC,RAIGARH,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Chhatradhari Mahilange,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=443,PAMGARH,SP,0,5th Pass,10821789,0,10821789,38,SC,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Chhotelal Tirkey,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=805,PRATAPPUR,CPI,0,10th Pass,153000,25000,128000,6,ST,SURAJPUR,NOTHERN HILLS,false,false,false,Male,,,,,,
Chintamani Kanwar,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=518,LUNDRA,INC,0,Others,3715373,55000,3660373,9,ST,SURGUJA,NOTHERN HILLS,false,true,false,Male,,,,,,
Chintamani Sandil,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=773,BAIKUNTHPUR,Rashtriya Gondvana Party,0,10th Pass,689000,0,689000,3,GEN,KORIA,NOTHERN HILLS,false,true,false,Male,,,,,,
Chitrasen Nagesh,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1205,BINDRANAWAGARH,NPP,0,8th Pass,1411000,0,1411000,55,ST,GARIABAND,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Chunni Lal Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1061,KHALLARI,BJP,0,Graduate,6498535,71000,6427535,41,GEN,MAHASAMUND,CHHATTISGARH PLAINS,false,true,false,Male,,,,,,
Chunnilal Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1026,AKALTARA,INC,0,Graduate,13002350,0,13002350,33,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Chunnilalyadav,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=1065,KHALLARI,IND,0,5th Pass,1027000,0,1027000,41,GEN,MAHASAMUND,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Dainikram Mandavi,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=938,BINDRANAWAGARH,IND,0,10th Pass,1376000,0,1376000,55,ST,GARIABAND,CHHATTISGARH PLAINS,false,false,false,Male,,,,,,
Daleshwar Singh Sahu,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=7,DONGARGAON,INC,0,12th Pass,15214897,2401405,12813492,76,GEN,RAJNANDGAON,CHHATTISGARH PLAINS,true,true,false,Male,,,,,,
Damru Mourya,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=168,BASTAR,IND,0,10th Pass,50000,0,50000,85,ST,BASTAR (JAGDALPUR),BASTAR PLATEAU,false,false,false,Male,,,,,,
Daniram Markam,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=77,KESHKAL,IND,0,12th Pass,10179053,1400000,8779053,82,ST,KONDAGAON,BASTAR PLATEAU,false,true,false,Male,,,,,,
Danti Ram Poyam,http://myneta.info/chhattisgarh2013/candidate.php?candidate_id=172,CHITRAKOT,SHS,0,12th Pass,429850,0,429850,87,ST,BASTAR (JAGDALPUR),BASTAR PLATEAU,true,false,false,Male,,,,,,
