candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks
Dilip Sarkar,http://myneta.info/tripura2018/candidate.php?candidate_id=5905,BADHARGHAT,BJP,1,10th Pass,45890574,1025892,44864682,14,SC,West Tripura,Tripura West,false,true,true,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5905&id2=11,45890574,45846716,43858,0%,Age Difference=7 PAN was missing last time Party in last election was INC
Dipak Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5882,BARJALA,INC,1,8th Pass,4436887,1303684,3133203,4,SC,West Tripura,Tripura West,true,true,true,Male,,,,,,
Giyas Uddin Chowdhury,http://myneta.info/tripura2018/candidate.php?candidate_id=5997,KADAMTALA-KURTI,INC,0,12th Pass,1221000,0,1221000,54,GEN,North Tripura,Tripura East,false,false,false,Male,,,,,,
Gopal Chandra Roy,http://myneta.info/tripura2018/candidate.php?candidate_id=5894,BANAMALIPUR,INC,3,Graduate Professional,23740782,1854975,21885807,9,GEN,West Tripura,Tripura West,true,true,true,Male,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5894&id2=8,23740782,14663389,9077393,62%,Age Difference=3
Gopal Chandra Sarkar,http://myneta.info/tripura2018/candidate.php?candidate_id=5788,TELIAMURA,AMB,0,10th Pass,447330,0,447330,28,ST,Khowai,Tripura East,false,true,false,Male,,,,,,
Gopal Roy,http://myneta.info/tripura2018/candidate.php?candidate_id=6032,MATARBARI,CPI(ML)(L),0,10th Pass,2092427,0,2092427,32,ST,Gomati,Tripura West,false,false,false,Male,,,,,,
Gouranga Das Talukdar,http://myneta.info/tripura2018/candidate.php?candidate_id=6003,PANISAGAR,INC,0,Graduate,321366,40000,281366,58,GEN,North Tripura,Tripura East,true,true,false,Male,,,,,,
Gouranga Debnath,http://myneta.info/tripura2018/candidate.php?candidate_id=5860,CHANDIPUR,CPI(ML)(L),0,10th Pass,212000,0,212000,52,GEN,Unakoti,Tripura East,false,true,false,Male,,,,,,
Gouri Das,http://myneta.info/tripura2018/candidate.php?candidate_id=5789,TELIAMURA,CPI(M),0,10th Pass,4900773,0,4900773,28,ST,Khowai,Tripura East,false,true,false,Female,http://myneta.info/tripura2018/index.php?action=affidavitComparison&myneta_folder2=tripura2013&id1=5789&id2=148,4900773,2411929,2488844,103%,PAN was missing last time
Gouri Sankar Nandi,http://myneta.info/tripura2018/candidate.php?candidate_id=5796,BELONIA,AMB,0,Graduate,1043600,0,1043600,35,GEN,South Tripura,Tripura West,false,true,false,Male,,,,,,
