candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
RAMESH AHUJA SINDHI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=465,Bilaspur,SHS,1,10th Pass,2888563,12121,2876442,30,GEN,BILASPUR,CHHATTISGARH PLAINS,,true,true,Male
RAMESH DAS CHELAK,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=765,Durg-Rural,IND,0,8th Pass,563000,575000,-12000,63,GEN,DURG,CHHATTISGARH PLAINS,,true,false,Male
RAMESH KUMAR NARETI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=784,Kanker,APP,0,12th Pass,512500,5000,507500,81,ST,UTTAR BASTAR KANKER,BASTAR PLATEAU,,false,false,Male
RAMESH KUMAR VERMA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=684,Bemetara,IND,0,12th Pass,2984829,0,2984829,69,GEN,BEMETARA,CHHATTISGARH PLAINS,,true,false,Male
RAMESH SINGH,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=693,Bharatpur-Sonhat,RGOP,0,Graduate,41000,0,41000,1,ST,KORIA,NOTHERN HILLS,,false,false,Male
RAMESH THAKUR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=730,Bindranawagarh,GMS,1,Not Given,515000,0,515000,55,ST,GARIABAND,CHHATTISGARH PLAINS,,false,false,Male
RAMESHWAR RAMTEKE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=312,Dongargarh,IND,0,Not Given,2645000,0,2645000,74,SC,RAJNANDGAON,CHHATTISGARH PLAINS,,false,false,Male
RAMJI BHARTI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=309,Dongargarh,BJP,0,Graduate,2405854,0,2405854,74,SC,RAJNANDGAON,CHHATTISGARH PLAINS,,false,false,Male
RAMKHILAWAN DAHARIYA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=803,Kawardha,IND,0,12th Pass,1651515,516256,1135259,72,GEN,KABIRDHAM,CHHATTISGARH PLAINS,,true,false,Male
RAMLAL KUNJAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=785,Kanker,CSP,0,5th Pass,15000,0,15000,81,ST,UTTAR BASTAR KANKER,BASTAR PLATEAU,,false,false,Male
RAMNATH SARFE,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=85,Chitrakot,CPI,0,Post Graduate,954500,15000,939500,87,ST,BASTAR (JAGDALPUR),BASTAR PLATEAU,,false,false,Male
RAMNAYAK MAURYA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=644,Ambikapur,IND,0,10th Pass,677178,0,677178,10,GEN,SURGUJA,NOTHERN HILLS,,false,false,Male
RAMPRASAD CHAUHAN,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=216,Saraipali,IND,0,5th Pass,207000,0,207000,39,SC,MAHASAMUND,CHHATTISGARH PLAINS,,false,false,Male
RAMPUKAR SINGH,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=161,Pathalgaon,INC,0,Not Given,3024000,0,3024000,14,ST,JASHPUR,NOTHERN HILLS,,true,false,Male
RAMSHARAN SINGH NETAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=682,Beltara,GMS,0,Not Given,245000,0,245000,31,GEN,BILASPUR,CHHATTISGARH PLAINS,,false,false,Male
RAMSINGH MANDAVI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=520,Keshkal,GGP,0,Post Graduate,97245,0,97245,82,ST,KONDAGAON,BASTAR PLATEAU,,false,false,Male
RAMVILAS AGRAWAL,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=99,Bilha,BSP,0,Not Given,9550000,1450000,8100000,29,GEN,BILASPUR,CHHATTISGARH PLAINS,,true,false,Male
RANJEET RAM TIGGA,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=400,Lundra,CPM,0,8th Pass,54000,0,54000,9,ST,SURGUJA,NOTHERN HILLS,,false,false,Male
RANSAI RAM,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=387,Pratappur,BSP,0,8th Pass,1408000,0,1408000,6,ST,SURAJPUR,NOTHERN HILLS,,false,false,Male
RATAN DAS SONWANI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=564,Arang,JD(U),0,Not Given,7670000,36565,7633435,52,SC,RAIPUR,CHHATTISGARH PLAINS,,false,false,Male
RATAN SINGH KUMHAR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=1007,Saraipali,IND,0,12th Pass,0,0,0,39,SC,MAHASAMUND,CHHATTISGARH PLAINS,,false,false,Male
RAVI SHANKAR TRIPATHI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=333,Bhatgaon,BJP,0,Graduate Professional,9453206,0,9453206,5,GEN,SURAJPUR,NOTHERN HILLS,,true,false,Male
RAVIKANT MARAVI,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=434,Rampur,SHS,0,12th Pass,40000,0,40000,20,ST,KORBA,CHHATTISGARH PLAINS,,false,false,Male
RAVINDRA CHOUBEY,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=45,Saja,INC,0,Graduate Professional,20654025,1266553,19387472,68,GEN,DURG,CHHATTISGARH PLAINS,,true,false,Male
RAVINDRA NARAYAN BANAFAR,http://myneta.info/2008Chhattisgarh/candidate.php?candidate_id=150,Jaijaipur,CPI,0,Post Graduate,5403500,0,5403500,37,GEN,JANJGIR-CHAMPA,CHHATTISGARH PLAINS,,false,false,Male
