candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender
MEGADI MALLAPPA RAMAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1864,Mudhol,IND,0,8th Pass,3967777,1310018,2657759,19,SC,BAGALKOT,BELGAUM DIVISION,,false,false,Male
MEHABOOB PASHA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1397,Chikkaballapur,BSP,2,Not Given,1650000,0,1650000,141,GEN,CHIKBALLAPUR,BANGALORE DIVISION,,false,true,Male
MELINKERI SUKHADEV MANNAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=2285,Indi,IND,1,12th Pass,679000,70000,609000,32,GEN,BIJAPUR,BELGAUM DIVISION,,false,true,Male
METGUD VIRUPAXI (JAGADISH) CHANNAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=256,Bailhongal,BJP,0,Graduate,5673251,27375000,-21701749,16,GEN,BELGAUM,BELGAUM DIVISION,,true,false,Male
METI GANGAPPA SHRISHAILAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1865,Terdal,IND,0,12th Pass,2060000,0,2060000,20,GEN,BAGALKOT,BELGAUM DIVISION,,false,false,Male
MHOD AMZAD KHAN,http://myneta.info/karnatka2008/candidate.php?candidate_id=426,Bidar South,SP,0,12th Pass,150000,120000,30000,49,GEN,BIDAR,GULBARGA REGION,,false,false,Male
MILIND GURUJI,http://myneta.info/karnatka2008/candidate.php?candidate_id=408,Basavakalyan,RPI(A),0,Post Graduate,265000,0,265000,47,GEN,BIDAR,GULBARGA REGION,,false,false,Male
MODALETAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1350,Pavagada,IND,0,Not Given,0,0,0,137,SC,TUMKUR,BANGALORE DIVISION,,false,false,Male
MOHAMAD NAJIRSAB MULIMANI,http://myneta.info/karnatka2008/candidate.php?candidate_id=707,Kushtagi,SKP,0,Graduate Professional,670000,0,670000,60,GEN,KOPPAL,MYSORE DIVISION,,false,false,Male
MOHAMED NASIRUDDIN T R,http://myneta.info/karnatka2008/candidate.php?candidate_id=1016,Chitradurga,BSP,0,Post Graduate,2820000,80000,2740000,99,GEN,CHITRADURGA,BANGALORE DIVISION,,false,false,Male
MOHAMMAD ALI,http://myneta.info/karnatka2008/candidate.php?candidate_id=522,Jevargi,IND,0,Graduate Professional,100000,0,100000,35,GEN,GULBARGA,GULBARGA REGION,,false,false,Male
MOHAMMAD.GALIB PASHA,http://myneta.info/karnatka2008/candidate.php?candidate_id=599,Gulbarga Dakshin,IND,1,5th Pass,6200000,0,6200000,44,GEN,GULBARGA,GULBARGA REGION,,false,false,Male
MOHAMMED ALI,http://myneta.info/karnatka2008/candidate.php?candidate_id=191,Padmanaba Nagar,ANC,0,5th Pass,0,0,0,171,GEN,BANGALORE,BANGALORE DIVISION,,false,false,Male
MOHAMMED ASLAM,http://myneta.info/karnatka2008/candidate.php?candidate_id=1818,Chamaraja,IND,0,5th Pass,25000,0,25000,217,GEN,MYSORE,MYSORE DIVISION,,false,false,Male
MOHAMMED FAROOQ,http://myneta.info/karnatka2008/candidate.php?candidate_id=1684,Moodabidri,BSP,0,Graduate,1108200,100000,1008200,201,GEN,DAKSHINA KANNADA,MYSORE DIVISION,,false,false,Male
MOHAMMED JAMEEL AHMED PANWALA,http://myneta.info/karnatka2008/candidate.php?candidate_id=649,Raichur,IND,0,10th Pass,560000,100000,460000,54,GEN,RAICHUR,GULBARGA REGION,,false,false,Male
MOHAMMED NAZEER AHMED,http://myneta.info/karnatka2008/candidate.php?candidate_id=227,Shanti Nagar,JD(U),1,Graduate Professional,35416655,950000,34466655,163,GEN,BANGALORE,BANGALORE DIVISION,,true,false,Male
MOHAMMED RIZWANULLA SHARIFF,http://myneta.info/karnatka2008/candidate.php?candidate_id=58,Byatarayanapura,TSNRP,0,Not Given,0,186976,-186976,152,GEN,BANGALORE,BANGALORE DIVISION,,true,false,Male
MOHAMMED SHAFI,http://myneta.info/karnatka2008/candidate.php?candidate_id=690,Sindhanur,IND,0,10th Pass,1048500,200000,848500,58,GEN,RAICHUR,GULBARGA REGION,,false,false,Male
MOHAMMED SHALAM HUSSAIN,http://myneta.info/karnatka2008/candidate.php?candidate_id=646,Raichur,IND,0,12th Pass,20000,0,20000,54,GEN,RAICHUR,GULBARGA REGION,,false,false,Male
MOHAN B.,http://myneta.info/karnatka2008/candidate.php?candidate_id=104,B.T.M. Layout,JD(S),0,Graduate,6528900,599000,5929900,172,GEN,BANGALORE,BANGALORE DIVISION,,true,false,Male
MOHAN K HIREGOUDAR,http://myneta.info/karnatka2008/candidate.php?candidate_id=771,Ron,BSP,0,12th Pass,6643254,300000,6343254,67,GEN,GADAG,BELGAUM DIVISION,,true,false,Male
MOHAN KRISHNA SHETTY,http://myneta.info/karnatka2008/candidate.php?candidate_id=887,Kumta,INC,0,Graduate,33952510,0,33952510,78,GEN,UTTARA KANNADA,BELGAUM DIVISION,,true,false,Male
MOULA MULLA,http://myneta.info/karnatka2008/candidate.php?candidate_id=623,Aland,CPI,0,Not Given,0,0,0,46,GEN,GULBARGA,GULBARGA REGION,,false,false,Male
MUGUR MAKABOOLAHMED NAZEERAHMED,http://myneta.info/karnatka2008/candidate.php?candidate_id=822,Dharwad,IUML,0,Literate,500000,0,500000,71,GEN,DHARWAD,BELGAUM DIVISION,,true,false,Male
MUKAPPA NINGAPPA MESTRI,http://myneta.info/karnatka2008/candidate.php?candidate_id=717,Kanakagiri,IND,0,8th Pass,360000,50000,310000,61,SC,KOPPAL,MYSORE DIVISION,,false,false,Male
MUKRAM KHAN,http://myneta.info/karnatka2008/candidate.php?candidate_id=571,Sedam,JD(S),0,Not Given,14557000,0,14557000,41,GEN,GULBARGA,GULBARGA REGION,,false,false,Male
MULLA SHARIFSAB,http://myneta.info/karnatka2008/candidate.php?candidate_id=843,Hubli-Dharwad-Central,IND,0,10th Pass,328000,0,328000,73,GEN,DHARWAD,BELGAUM DIVISION,,false,false,Male
MUNAVALLI SHANKRANNA ISHWARAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=837,Hubli-Dharwad-Central,INC,0,10th Pass,40328091,40157912,170179,73,GEN,DHARWAD,BELGAUM DIVISION,,true,false,Male
MUNIKRISHNAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1442,Mulbagal,IND,0,Not Given,50000,0,50000,145,SC,KOLAR,BANGALORE DIVISION,,false,false,Male
MUNINARAYANA.H.M,http://myneta.info/karnatka2008/candidate.php?candidate_id=118,Bommanahalli,JD(S),0,Not Given,132690000,800000,131890000,175,GEN,BANGALORE,BANGALORE DIVISION,,false,false,Male
MUNIYAPPA M (KORAMANGALA MUNIYAPPA),http://myneta.info/karnatka2008/candidate.php?candidate_id=82,Devanahalli,BSP,4,Not Given,0,0,0,179,SC,BANGALORE RURAL,BANGALORE DIVISION,,false,true,Male
MUNIYAPPA MUDDAPPA,http://myneta.info/karnatka2008/candidate.php?candidate_id=642,Raichur,SP,0,Graduate,13163500,5696030,7467470,54,GEN,RAICHUR,GULBARGA REGION,,true,false,Male
MUNIYAPPA R,http://myneta.info/karnatka2008/candidate.php?candidate_id=66,Mahadevapura,BSP,0,Graduate Professional,5200000,0,5200000,174,SC,BANGALORE,BANGALORE DIVISION,,false,false,Male
MURUGESH RUDRAPPA NIRANI,http://myneta.info/karnatka2008/candidate.php?candidate_id=11,Bilgi,BJP,1,Graduate Professional,49518250,2723582,46794668,22,GEN,BAGALKOT,BELGAUM DIVISION,,true,false,Male
MUTTON MOHAMMADALI.J,http://myneta.info/karnatka2008/candidate.php?candidate_id=1090,Davanagere North,LJP,0,5th Pass,2900000,500000,2400000,106,GEN,DAVANAGERE,BANGALORE DIVISION,,false,false,Male
MUZAMMIL AHMED KHAN.B.Z,http://myneta.info/karnatka2008/candidate.php?candidate_id=133,Chickpet,JD(S),0,Not Given,3944060,0,3944060,169,GEN,BANGALORE,BANGALORE DIVISION,,true,false,Male
N BASAVARAJU,http://myneta.info/karnatka2008/candidate.php?candidate_id=1588,Melukote,IND,0,12th Pass,168000,0,168000,188,GEN,MANDYA,MYSORE DIVISION,,false,false,Male
N BOREGOWDA,http://myneta.info/karnatka2008/candidate.php?candidate_id=1002,Molakalmuru,IND,0,10th Pass,170000,0,170000,97,ST,CHITRADURGA,BANGALORE DIVISION,,false,false,Male
N C KRISHNA REDDY,http://myneta.info/karnatka2008/candidate.php?candidate_id=1419,Chintamani,IND,0,10th Pass,290000,0,290000,143,GEN,CHIKBALLAPUR,BANGALORE DIVISION,,false,false,Male
