candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations
GOPAL CHANDRA ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=13,Banamalipur,INC,0,Graduate Professional,5422719,80000,5342719,9,GEN
GOPAL KRISHNA DEB,http://myneta.info/tripura2008/candidate.php?candidate_id=127,Dharmanagar,AMB,0,10th Pass,25000,0,25000,56,GEN
GOPAL ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=302,Matarbari,CPI(ML)(L),0,10th Pass,668800,29777,639023,33,GEN
GOURANGA RUDRAPAUL,http://myneta.info/tripura2008/candidate.php?candidate_id=291,Teliamura,AMB,0,Graduate Professional,1600,0,1600,29,GEN
GOURI DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=289,Teliamura,CPM,0,10th Pass,1624015,0,1624015,29,GEN
GOURI SANKAR REANG,http://myneta.info/tripura2008/candidate.php?candidate_id=261,Santirbazar,INC,0,Graduate,1632635,50000,1582635,37,ST
HARADHAN SAHA,http://myneta.info/tripura2008/candidate.php?candidate_id=67,Birganj,BJP,0,10th Pass,1205000,0,1205000,43,GEN
HARENDRA DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=98,Charilam,IND,0,5th Pass,0,0,0,18,ST
HARICHARAN SARKAR,http://myneta.info/tripura2008/candidate.php?candidate_id=43,Bamutia,CPM,0,Graduate,429950,14500,415450,3,SC
HARISHANKAR PAUL,http://myneta.info/tripura2008/candidate.php?candidate_id=283,Kalyanpur,BJP,0,Graduate,60000,0,60000,27,GEN
HEMANTO UCHOI,http://myneta.info/tripura2008/candidate.php?candidate_id=66,Birganj,IND,0,Graduate,0,0,0,43,GEN
JADU MOHAN TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=191,Salema,INC,0,8th Pass,1092000,30721,1061279,47,ST
JAGADISH DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=6,Mandaibazar,INPT,0,12th Pass,339060,0,339060,11,ST
JASHABIR TRIPURA,http://myneta.info/tripura2008/candidate.php?candidate_id=255,Jolaibari,CPM,0,8th Pass,1022441,500000,522441,39,ST
JAWHAR SAHA,http://myneta.info/tripura2008/candidate.php?candidate_id=65,Birganj,INC,0,Graduate,5791387,300000,5491387,43,GEN
JAYANTA CHAKRABORTY,http://myneta.info/tripura2008/candidate.php?candidate_id=174,Kailasahar,CPM,0,Graduate,773973,0,773973,53,GEN
JITENDRA CHOWDHURY,http://myneta.info/tripura2008/candidate.php?candidate_id=245,Manu,CPM,0,12th Pass,7815546,300000,7515546,40,ST
JOY KUMAR DEB,http://myneta.info/tripura2008/candidate.php?candidate_id=51,Mohanpur,AMB,0,8th Pass,930000,0,930000,2,GEN
JOYGOBINDA DEB ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=304,Radhakishorepur,RSP,0,Graduate,1560000,570000,990000,32,GEN
JULFU MIA,http://myneta.info/tripura2008/candidate.php?candidate_id=280,Sonamura,CPI(ML)(L),0,Literate,1750,0,1750,21,GEN
JYOTIRMOY DEB,http://myneta.info/tripura2008/candidate.php?candidate_id=170,Fatikroy,AITC,0,8th Pass,520000,0,520000,51,GEN
JYOTIRMOY NATH,http://myneta.info/tripura2008/candidate.php?candidate_id=133,Kadamtala,INC,0,Graduate Professional,1621000,500000,1121000,55,GEN
JYOTISH DEBBARMA,http://myneta.info/tripura2008/candidate.php?candidate_id=231,Pramodenagar,IND,0,8th Pass,0,0,0,26,ST
KABERI SINHA,http://myneta.info/tripura2008/candidate.php?candidate_id=161,Chandipur,BJP,0,8th Pass,81000,0,81000,52,GEN
KAJAL CHANDRA DAS,http://myneta.info/tripura2008/candidate.php?candidate_id=282,Kalyanpur,INC,0,12th Pass,2417373,578000,1839373,27,GEN
KANAI LAL ROY,http://myneta.info/tripura2008/candidate.php?candidate_id=177,Kailasahar,AMB,0,Not Given,120000,14000,106000,53,GEN
KARNADHAN CHAKMA,http://myneta.info/tripura2008/candidate.php?candidate_id=212,Pencharthal,AMB,0,8th Pass,20000,0,20000,58,ST
