candidate_name,url,constituency,party,criminal_cases,education,assets,liabilities,net_assets,ac_no,reservations,district,sub_region,filed_itr,declared_pan,serious_criminal_cases,gender,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_assets_change_pct,recontest_remarks,party_eci
Usha Thakur Didi,http://myneta.info/mp2013/candidate.php?candidate_id=723,INDORE - 3,BJP,2,Post Graduate,138912,0,138912,206,GEN,INDORE,MALWA PLATEAU,false,true,false,Female,,,,,,,Bharatiya Janata Party
Usman Khan,http://myneta.info/mp2013/candidate.php?candidate_id=2686,BIAORA,IND,0,Graduate,1110000,0,1110000,161,GEN,RAJGARH,MALWA PLATEAU,false,false,false,Male,,,,,,,Independent
Uttam Premnarayan Thakur,http://myneta.info/mp2013/candidate.php?candidate_id=788,AMARWARA,BJP,0,Graduate Professional,11267000,0,11267000,123,ST,CHHINDWARA,SATPURA PLATEAU,true,true,false,Male,,,,,,,Bharatiya Janata Party
Vaishali Dhumne,http://myneta.info/mp2013/candidate.php?candidate_id=2679,BHOJPUR,NCP,0,Graduate,3693000,1030000,2663000,141,GEN,RAISEN,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Nationalist Congress Party
Vakeel  Khan,http://myneta.info/mp2013/candidate.php?candidate_id=1317,BHOPAL UTTAR,IND,0,Graduate,4313600,1900,4311700,150,GEN,BHOPAL,VINDHYAN PLEATEAU,false,false,false,Male,,,,,,,Independent
Valsingh,http://myneta.info/mp2013/candidate.php?candidate_id=145,PETLAWAD,INC,0,8th Pass,8350404,850000,7500404,195,ST,JHABUA,JHABUA HILLS,false,true,false,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=145&id2=213,8350404,2993165,5357239,179%,Age Difference=8,Indian National Congress
Valu,http://myneta.info/mp2013/candidate.php?candidate_id=404,SAILANA,IND,1,10th Pass,2099500,0,2099500,221,ST,RATLAM,MALWA PLATEAU,false,false,true,Male,,,,,,,Independent
Veerendra Tiwari,http://myneta.info/mp2013/candidate.php?candidate_id=2250,PATAN,SP,0,10th Pass,4295000,0,4295000,95,GEN,JABALPUR,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Samajwadi Party
Veersingh Panwar,http://myneta.info/mp2013/candidate.php?candidate_id=77,KURWAI,BJP,0,10th Pass,9233957,0,9233957,146,SC,VIDISHA,VINDHYAN PLEATEAU,false,true,false,Male,,,,,,,Bharatiya Janata Party
Vel Singh Bhuriya,http://myneta.info/mp2013/candidate.php?candidate_id=469,SARDARPUR,BJP,1,Graduate,2015953,0,2015953,196,ST,DHAR,MALWA PLATEAU,false,false,true,Male,,,,,,,Bharatiya Janata Party
Versingh,http://myneta.info/mp2013/candidate.php?candidate_id=2212,NEPANAGAR,LJP,0,5th Pass,725000,40000,685000,179,ST,BURHANPUR,NIMAR VALLEY,false,false,false,Male,,,,,,,Lok Janshakti Party
Vicky Chhari,http://myneta.info/mp2013/candidate.php?candidate_id=620,GUNA,IND,1,12th Pass,243000,0,243000,29,SC,GUNA,GIRD ZONE,false,true,true,Male,,,,,,,Independent
Vidhyutlata Balaram Dhanotiya,http://myneta.info/mp2013/candidate.php?candidate_id=1676,GAROTH,NCP,0,12th Pass,333000,0,333000,227,GEN,MANDSAUR,MALWA PLATEAU,false,false,false,Female,,,,,,,Nationalist Congress Party
Vidyacharan R. Shukla,http://myneta.info/mp2013/candidate.php?candidate_id=1385,SIHAWAL,Apna Dal,0,Not Given,0,0,0,78,GEN,SIDHI,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Apna Dal
Vidyadhar Tiwari,http://myneta.info/mp2013/candidate.php?candidate_id=1960,SIRMOUR,IND,0,Post Graduate,380000,0,380000,68,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,false,false,false,Male,,,,,,,Independent
Vidyavati,http://myneta.info/mp2013/candidate.php?candidate_id=251,DEOTALAB,BSP,0,Post Graduate,47077071,2068993,45008078,72,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,true,true,false,Female,,,,,,,Bahujan Samaj Party
Vijay,http://myneta.info/mp2013/candidate.php?candidate_id=536,BANDHAVGARH,IND,0,Post Graduate,47300,0,47300,89,ST,UMARIA,NOTHERN HILLS ZONE OF CHHATTISGARH,false,true,false,Male,,,,,,,Independent
Vijay Batham,http://myneta.info/mp2013/candidate.php?candidate_id=1592,GWALIOR,IND,0,8th Pass,544000,0,544000,15,GEN,GWALIOR,GIRD ZONE,false,false,false,Male,,,,,,,Independent
Vijay Katiyar,http://myneta.info/mp2013/candidate.php?candidate_id=446,INDORE - 5,IND,1,8th Pass,90000,0,90000,208,GEN,INDORE,MALWA PLATEAU,false,false,false,Male,,,,,,,Independent
Vijay Kumar,http://myneta.info/mp2013/candidate.php?candidate_id=2644,BAHORIBAND,IND,0,Literate,4210000,0,4210000,94,GEN,KATNI,NOTHERN HILLS ZONE OF CHHATTISGARH,false,true,false,Male,,,,,,,Independent
Vijay Kumar,http://myneta.info/mp2013/candidate.php?candidate_id=2022,TEONTHAR,Rashtriya Samanta Dal,1,Graduate,4897973,1050720,3847253,70,GEN,REWA,KYMORE PLEATEAU AND SATPURA HILLS,false,true,true,Male,,,,,,,Rashtriya Samanta Dal
Vijay Kumar Kankane,http://myneta.info/mp2013/candidate.php?candidate_id=2645,MUDWARA,SP,0,10th Pass,5825000,0,5825000,93,GEN,KATNI,NOTHERN HILLS ZONE OF CHHATTISGARH,false,true,false,Male,,,,,,,Samajwadi Party
Vijay Pal Singh,http://myneta.info/mp2013/candidate.php?candidate_id=867,SOHAGPUR,BJP,0,Post Graduate,12601141,5855917,6745224,138,GEN,HOSHANGABAD,CENTRAL NARMADA VALLEY,true,true,false,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=867&id2=171,12601141,3237311,9363830,289%,Age Difference=7,Bharatiya Janata Party
Vijay Patidar,http://myneta.info/mp2013/candidate.php?candidate_id=128,GAROTH,BSP,0,Graduate Professional,196910,23000,173910,227,GEN,MANDSAUR,MALWA PLATEAU,false,true,false,Male,,,,,,,Bahujan Samaj Party
Vijay Raghvendra Singh,http://myneta.info/mp2013/candidate.php?candidate_id=776,BADWARA,INC,1,12th Pass,377608,0,377608,91,ST,KATNI,NOTHERN HILLS ZONE OF CHHATTISGARH,false,true,true,Male,,,,,,,Indian National Congress
Vijay Shah,http://myneta.info/mp2013/candidate.php?candidate_id=752,HARSUD,BJP,0,Post Graduate,68391215,15844221,52546994,176,ST,KHANDWA,NIMAR VALLEY,true,true,false,Male,http://myneta.info/mp2013/index.php?action=affidavitComparison&myneta_folder2=2008mp&id1=752&id2=225,68391215,22465122,45926093,204%,PAN is Different,Bharatiya Janata Party
